/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
0,0,1,1,1,0,1,1,1,1,1,0,0.0012331072939559817
0,0,0,1,0,1,1,0,0,1,0,1,0.0006517642177641392
1,0,1,0,0,0,0,0,1,0,1,1,0.004314150661230087
0,1,1,1,1,1,1,1,1,1,0,1,0.0012954978737980127
0,1,0,1,0,0,0,1,0,1,0,1,0.0008955897646956146
0,1,0,0,0,1,0,0,1,0,0,0,0.0007865155348554254
1,0,0,1,1,0,1,0,0,1,0,0,0.00430301995947957
1,0,1,0,0,1,0,1,0,1,1,1,0.004342132247984409
0,0,1,1,1,1,1,1,1,0,1,0,0.001226905733346939
0,0,0,1,0,0,1,0,1,0,0,1,0.0007347858045250177
0,0,1,0,1,1,1,1,0,0,1,0,0.0012196938041597605
0,0,0,1,1,0,0,0,0,1,1,1,0.0010211255867034197
0,0,0,0,1,1,0,1,0,1,0,1,0.0007425161311402917
1,0,0,0,0,0,1,0,0,0,1,0,0.004309144336730242
1,0,0,0,1,0,0,0,1,1,1,0,0.004334916826337576
0,1,1,0,0,1,0,1,1,0,1,0,0.0011922391131520271
1,0,1,0,0,0,1,0,0,0,0,1,0.004281478468328714
1,1,1,0,1,0,1,0,0,0,0,1,0.004268981516361237
0,0,1,0,1,0,0,1,0,1,1,1,0.0011644643964245915
1,0,0,0,1,1,1,0,1,0,1,0,0.004302202723920345
0,0,0,0,0,0,0,0,1,0,0,0,0.0004146718420088291
1,1,1,1,1,1,1,0,0,1,0,0,0.004322498105466366
0,0,0,1,1,1,0,1,1,0,1,1,0.0010995276970788836
0,1,1,0,1,1,0,0,0,0,1,1,0.0011598487617447972
0,0,1,0,1,0,0,1,0,0,1,0,0.0011216411367058754
0,0,0,0,1,1,1,0,0,0,0,1,0.0007630752515979111
1,0,0,1,0,1,1,1,1,1,1,0,0.004364010877907276
0,0,1,0,0,1,1,0,1,1,1,0,0.0010328504722565413
0,0,1,0,0,0,1,1,1,0,1,0,0.0011757428292185068
1,1,0,0,1,0,1,1,0,1,0,0,0.0043096402660012245
0,0,0,0,0,1,1,0,0,1,0,1,0.000621431041508913
1,0,1,0,1,1,0,0,0,0,0,1,0.004267125390470028
1,0,0,0,0,0,1,1,1,0,0,0,0.004331892356276512
1,0,1,1,1,1,1,1,1,1,1,0,0.004348292015492916
1,0,0,0,1,0,0,0,1,1,0,0,0.0043153404258191586
0,0,1,0,1,1,0,1,0,0,0,1,0.0008460230892524123
0,1,1,1,1,0,1,1,1,0,1,0,0.001336500747129321
0,1,0,0,0,0,0,0,1,0,1,1,0.0009963056072592735
1,1,0,0,1,0,0,0,1,1,0,1,0.004304391797631979
0,0,1,0,0,1,1,1,1,1,1,0,0.0011743446812033653
1,1,0,0,0,1,1,0,1,0,1,0,0.004329592455178499
0,1,1,0,0,1,0,1,1,1,0,0,0.001107631018385291
0,0,0,1,1,1,0,1,0,0,0,0,0.0006930631352588534
0,1,1,1,0,0,1,0,0,1,0,1,0.0009142502094618976
0,0,1,1,0,0,1,0,0,0,0,0,0.0006048305076546967
0,1,1,0,1,1,0,0,1,1,0,1,0.001127574942074716
