/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,3062.1796875
1,0,0,0,0,1,1,0,1,1,0,1,3006.790771484375
0,1,0,0,1,0,1,1,0,0,0,1,769.7803955078125
1,1,0,0,0,1,0,1,0,1,0,1,3047.165771484375
0,0,1,0,1,1,1,0,1,1,0,0,663.7295532226562
0,1,0,1,1,0,0,0,0,1,1,0,760.7366943359375
0,0,1,0,0,0,0,1,1,1,1,0,755.8009033203125
0,1,1,1,0,0,0,0,1,0,0,0,641.9774780273438
0,1,1,1,0,1,1,1,0,1,1,1,902.8463745117188
0,0,1,1,1,0,0,0,0,0,0,0,445.95660400390625
1,0,0,0,0,1,1,0,0,0,0,1,3011.949951171875
1,1,1,0,0,1,1,0,1,1,0,1,3030.189697265625
0,1,1,0,0,1,1,1,0,1,0,1,762.6471557617188
1,0,0,0,1,0,1,0,0,0,0,1,2992.369384765625
0,0,1,0,1,0,1,1,1,0,0,1,752.8803100585938
0,1,1,1,1,0,0,0,1,1,0,1,780.8594360351562
0,1,1,1,1,1,0,1,1,0,1,0,883.1129150390625
1,1,0,1,1,1,0,0,0,0,1,0,3064.41650390625
1,0,0,1,0,1,1,1,1,0,0,1,3051.28271484375
0,1,0,1,0,1,0,0,0,1,0,0,486.91827392578125
0,1,0,0,1,0,1,0,0,1,1,1,856.2732543945312
1,1,1,0,0,1,1,0,1,1,1,1,3035.98974609375
1,1,1,1,0,0,0,0,1,0,0,1,3059.502685546875
0,0,0,0,1,0,1,0,1,0,0,0,575.4070434570312
0,0,1,1,1,1,1,0,1,0,1,0,805.6192626953125
1,0,1,1,0,0,0,1,0,0,0,1,3047.82666015625
0,0,1,1,0,0,1,1,1,0,0,1,692.3243408203125
1,1,0,1,0,1,1,1,0,0,1,1,3059.506591796875
0,1,0,0,0,0,0,0,0,0,0,0,392.00311279296875
1,1,0,0,1,0,1,0,1,0,1,0,3050.49365234375
0,1,0,1,0,0,1,1,0,0,0,0,706.5598754882812
0,0,0,1,0,1,0,1,0,0,1,1,749.9548950195312
0,1,1,0,1,0,0,0,1,0,1,0,833.5836181640625
0,1,0,1,1,1,0,1,1,1,0,0,812.3533325195312
0,1,1,0,1,1,0,1,1,1,0,1,860.2199096679688
1,0,0,1,1,1,0,0,0,1,1,1,3061.4140625
1,1,1,0,1,1,0,0,0,0,0,0,3032.376220703125
0,1,0,1,1,1,1,0,1,1,1,1,911.0271606445312
0,0,0,1,1,1,1,1,0,0,1,1,865.9525146484375
0,1,0,1,1,0,1,1,1,1,1,0,951.81298828125
0,0,0,0,1,1,1,0,1,0,1,1,791.5028686523438
1,1,1,1,1,0,1,0,0,0,1,1,3042.24658203125
0,1,0,1,1,0,1,1,0,0,0,1,801.9874267578125
0,1,1,1,0,0,0,0,0,0,0,1,533.7689208984375
0,0,0,0,1,0,0,0,0,0,0,0,323.5089111328125
1,1,1,0,1,0,1,1,0,0,1,0,3046.205810546875
1,1,0,0,1,0,0,0,0,0,1,0,3045.5537109375
1,0,0,0,0,1,0,0,1,0,0,0,3049.010009765625
0,1,1,0,0,1,0,0,1,1,1,0,745.8775634765625
1,1,0,1,0,0,1,1,0,1,0,0,3076.135498046875
0,0,1,1,1,0,0,1,0,0,0,1,598.0506591796875
1,1,1,0,1,1,1,1,1,1,1,1,3047.8525390625
0,0,0,1,1,1,0,0,0,0,0,0,367.97857666015625
1,0,1,0,0,1,0,0,1,0,0,1,3029.923828125
0,1,1,0,1,1,0,1,0,1,0,0,730.9822998046875
0,1,0,1,0,0,1,0,0,0,1,0,757.118408203125
1,1,1,0,1,0,1,1,1,0,0,1,3037.91357421875
1,0,0,1,0,1,1,0,1,0,0,1,3032.222900390625
1,1,1,1,0,0,1,0,1,0,0,1,3052.488525390625
0,0,1,0,1,1,0,1,1,1,1,1,828.2830810546875
