/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
0,1,0,1,0,0,0,1,0,1,0,1,96.44441223144531
0,1,0,0,0,1,0,0,1,0,0,0,86.65631103515625
1,0,0,1,1,0,1,0,0,1,0,0,333.99334716796875
1,0,1,0,0,1,0,1,0,1,1,1,334.60479736328125
0,0,1,1,1,1,1,1,1,0,1,0,127.30073547363281
0,0,0,1,0,0,1,0,1,0,0,1,51.645103454589844
0,0,1,0,1,1,1,1,0,0,1,0,136.59408569335938
0,0,0,1,1,0,0,0,0,1,1,1,132.3611297607422
0,0,0,0,1,1,0,1,0,1,0,1,83.09553527832031
1,0,0,0,0,0,1,0,0,0,1,0,336.4084167480469
1,0,0,0,1,0,0,0,1,1,1,0,336.48431396484375
0,1,1,0,0,1,0,1,1,0,1,0,128.58348083496094
1,0,1,0,0,0,1,0,0,0,0,1,333.4767150878906
1,1,1,0,1,0,1,0,0,0,0,1,333.10296630859375
0,0,1,0,1,0,0,1,0,1,1,1,140.09884643554688
1,0,0,0,1,1,1,0,1,0,1,0,336.5875549316406
0,0,0,0,0,0,0,0,1,0,0,0,51.02936553955078
1,1,1,1,1,1,1,0,0,1,0,0,333.7393493652344
0,0,0,1,1,1,0,1,1,0,1,1,127.0483169555664
0,1,1,0,1,1,0,0,0,0,1,1,141.05337524414062
0,0,1,0,1,0,0,1,0,0,1,0,135.2442626953125
0,0,0,0,1,1,1,0,0,0,0,1,65.27626037597656
1,0,0,1,0,1,1,1,1,1,1,0,336.97076416015625
0,0,1,0,0,1,1,0,1,1,1,0,120.30128479003906
0,0,1,0,0,0,1,1,1,0,1,0,129.6738739013672
1,1,0,0,1,0,1,1,0,1,0,0,333.6197509765625
0,0,0,0,0,1,1,0,0,1,0,1,45.27018356323242
1,0,1,0,1,1,0,0,0,0,0,1,332.838134765625
1,0,0,0,0,0,1,1,1,0,0,0,335.68890380859375
1,0,1,1,1,1,1,1,1,1,1,0,335.4787902832031
1,0,0,0,1,0,0,0,1,1,0,0,334.06134033203125
0,0,1,0,1,1,0,1,0,0,0,1,85.29088592529297
0,1,1,1,1,0,1,1,1,0,1,0,139.04171752929688
0,1,0,0,0,0,0,0,1,0,1,1,129.21327209472656
1,1,0,0,1,0,0,0,1,1,0,1,333.50482177734375
0,0,1,0,0,1,1,1,1,1,1,0,131.2477569580078
1,1,0,0,0,1,1,0,1,0,1,0,336.6762390136719
0,1,1,0,0,1,0,1,1,1,0,0,107.846923828125
0,0,0,1,1,1,0,1,0,0,0,0,75.47835540771484
0,1,1,1,0,0,1,0,0,1,0,1,83.58924865722656
0,0,1,1,0,0,1,0,0,0,0,0,36.848060607910156
0,1,1,0,1,1,0,0,1,1,0,1,111.6314468383789
1,0,1,0,0,1,0,1,1,0,0,0,335.77227783203125
1,0,0,0,0,0,1,1,0,0,1,1,335.2474670410156
0,0,1,1,0,1,1,1,0,1,0,0,72.29362487792969
0,0,1,0,0,1,1,0,1,1,1,1,128.63522338867188
0,0,1,1,0,0,1,1,0,0,0,0,65.7322769165039
1,1,1,1,1,1,1,1,1,0,0,0,334.6481628417969
1,0,0,0,1,1,0,0,0,1,0,1,333.1557922363281
0,0,0,0,0,0,1,1,0,0,1,0,130.3665008544922
0,1,1,0,0,0,1,0,0,0,0,0,81.58074188232422
1,0,0,0,1,0,1,0,0,0,1,0,335.86761474609375
0,1,0,1,1,1,0,1,1,1,1,0,147.96754455566406
1,0,1,1,1,0,1,0,0,1,1,0,335.5826110839844
0,0,1,1,0,1,1,0,1,1,1,0,117.38517761230469
0,0,1,1,1,1,1,1,1,0,1,1,129.1429901123047
1,0,1,1,1,0,0,1,0,1,0,1,333.0840148925781
1,1,0,1,0,1,1,0,0,1,0,1,333.9936218261719
0,0,1,0,0,0,1,0,0,0,1,0,116.02052307128906
0,0,1,1,1,1,1,1,0,1,1,1,142.10873413085938
1,1,1,1,0,1,1,0,1,1,1,1,335.2810974121094
1,0,0,0,1,0,0,0,0,0,1,0,335.86761474609375
1,1,0,1,1,1,1,1,0,0,0,0,333.79559326171875
0,1,1,0,0,0,1,1,0,0,0,0,92.44123077392578
1,1,1,1,0,0,0,0,0,1,0,1,334.08258056640625
0,1,0,1,0,1,0,0,0,1,0,1,86.75831604003906
0,1,0,1,0,1,1,1,1,1,0,0,110.52592468261719
1,0,1,1,1,1,0,1,1,1,1,0,335.4787902832031
0,1,1,1,1,0,0,0,0,1,0,0,97.58642578125
1,0,0,1,0,1,1,1,0,1,1,0,336.730224609375
1,0,1,0,0,0,1,0,0,1,1,1,334.5035705566406
1,1,0,0,1,0,0,0,1,1,1,0,336.4028625488281
0,1,0,1,0,0,0,1,0,1,0,0,102.21837615966797
1,0,0,0,0,0,0,0,0,1,0,0,334.1885070800781
0,1,0,1,0,0,0,1,1,1,0,1,110.60392761230469
0,0,0,0,1,0,1,1,1,0,0,0,82.32742309570312
0,0,0,0,1,0,1,0,0,1,0,0,62.70502853393555
0,0,1,1,1,0,0,1,0,1,1,1,139.74703979492188
