/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
0,0,0,1,0,0,1,0,1,0,0,1,56765.76171875
0,0,1,0,1,1,1,1,0,0,1,0,84330.0546875
0,0,0,1,1,0,0,0,0,1,1,1,58418.7734375
0,0,0,0,1,1,0,1,0,1,0,1,43798.4296875
1,0,0,0,0,0,1,0,0,0,1,0,226246.84375
1,0,0,0,1,0,0,0,1,1,1,0,222729.578125
0,1,1,0,0,1,0,1,1,0,1,0,79407.28125
1,0,1,0,0,0,1,0,0,0,0,1,224961.71875
1,1,1,0,1,0,1,0,0,0,0,1,228027.53125
0,0,1,0,1,0,0,1,0,1,1,1,74887.9609375
1,0,0,0,1,1,1,0,1,0,1,0,227223.578125
0,0,0,0,0,0,0,0,1,0,0,0,25125.16015625
1,1,1,1,1,1,1,0,0,1,0,0,229517.703125
0,0,0,1,1,1,0,1,1,0,1,1,65120.0390625
0,1,1,0,1,1,0,0,0,0,1,1,75403.21875
0,0,1,0,1,0,0,1,0,0,1,0,72210.671875
0,0,0,0,1,1,1,0,0,0,0,1,57629.6953125
1,0,0,1,0,1,1,1,1,1,1,0,228740.46875
0,0,1,0,0,1,1,0,1,1,1,0,71614.3671875
0,0,1,0,0,0,1,1,1,0,1,0,81428.5859375
1,1,0,0,1,0,1,1,0,1,0,0,228009.25
0,0,0,0,0,1,1,0,0,1,0,1,47991.578125
1,0,1,0,1,1,0,0,0,0,0,1,220423.171875
1,0,0,0,0,0,1,1,1,0,0,0,224808.84375
1,0,1,1,1,1,1,1,1,1,1,0,231690.53125
1,0,0,0,1,0,0,0,1,1,0,0,218513.328125
0,0,1,0,1,1,0,1,0,0,0,1,57974.0703125
0,1,1,1,1,0,1,1,1,0,1,0,94735.546875
0,1,0,0,0,0,0,0,1,0,1,1,61405.53125
1,1,0,0,1,0,0,0,1,1,0,1,221804.125
0,0,1,0,0,1,1,1,1,1,1,0,81384.328125
1,1,0,0,0,1,1,0,1,0,1,0,230309.421875
0,1,1,0,0,1,0,1,1,1,0,0,74545.53125
0,0,0,1,1,1,0,1,0,0,0,0,40542.515625
0,1,1,1,0,0,1,0,0,1,0,1,68978.84375
0,0,1,1,0,0,1,0,0,0,0,0,47155.8046875
0,1,1,0,1,1,0,0,1,1,0,1,75876.625
1,0,1,0,0,1,0,1,1,0,0,0,222917.90625
1,0,0,0,0,0,1,1,0,0,1,1,227498.046875
0,0,1,1,0,1,1,1,0,1,0,0,64437.1953125
0,0,1,0,0,1,1,0,1,1,1,1,73925.640625
0,0,1,1,0,0,1,1,0,0,0,0,62673.23046875
1,1,1,1,1,1,1,1,1,0,0,0,232297.875
1,0,0,0,1,1,0,0,0,1,0,1,216587.796875
0,0,0,0,0,0,1,1,0,0,1,0,76883.4453125
0,1,1,0,0,0,1,0,0,0,0,0,64155.98046875
1,0,0,0,1,0,1,0,0,0,1,0,226343.703125
0,1,0,1,1,1,0,1,1,1,1,0,75987.734375
1,0,1,1,1,0,1,0,0,1,1,0,230452.46875
0,0,1,1,0,1,1,0,1,1,1,0,72218.328125
0,0,1,1,1,1,1,1,1,0,1,1,87392.9765625
1,0,1,1,1,0,0,1,0,1,0,1,222610.578125
1,1,0,1,0,1,1,0,0,1,0,1,227479.09375
0,0,1,0,0,0,1,0,0,0,1,0,70395.8359375
0,0,1,1,1,1,1,1,0,1,1,1,87517.921875
1,1,1,1,0,1,1,0,1,1,1,1,232482.5
1,0,0,0,1,0,0,0,0,0,1,0,221164.453125
1,1,0,1,1,1,1,1,0,0,0,0,228543.40625
0,1,1,0,0,0,1,1,0,0,0,0,75611.8671875
1,1,1,1,0,0,0,0,0,1,0,1,224312.09375
0,1,0,1,0,1,0,0,0,1,0,1,44564.1484375
0,1,0,1,0,1,1,1,1,1,0,0,86400.546875
1,0,1,1,1,1,0,1,1,1,1,0,226856.203125
0,1,1,1,1,0,0,0,0,1,0,0,62962.2734375
1,0,0,1,0,1,1,1,0,1,1,0,228892.09375
