/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.33222466707229614
1,0,0,0,0,1,1,0,1,1,0,1,0.31544119119644165
0,1,0,0,1,0,1,1,0,0,0,1,0.11298920959234238
1,1,0,0,0,1,0,1,0,1,0,1,0.31240248680114746
0,0,1,0,1,1,1,0,1,1,0,0,0.0989043265581131
0,1,0,1,1,0,0,0,0,1,1,0,0.09297437220811844
0,0,1,0,0,0,0,1,1,1,1,0,0.09817680716514587
0,1,1,1,0,0,0,0,1,0,0,0,0.0899922177195549
0,1,1,1,0,1,1,1,0,1,1,1,0.12787775695323944
0,0,1,1,1,0,0,0,0,0,0,0,0.0647127628326416
1,0,0,0,0,1,1,0,0,0,0,1,0.31442657113075256
1,1,1,0,0,1,1,0,1,1,0,1,0.32482707500457764
0,1,1,0,0,1,1,1,0,1,0,1,0.11241106688976288
1,0,0,0,1,0,1,0,0,0,0,1,0.31466391682624817
0,0,1,0,1,0,1,1,1,0,0,1,0.10891278088092804
0,1,1,1,1,0,0,0,1,1,0,1,0.10684267431497574
0,1,1,1,1,1,0,1,1,0,1,0,0.11834461987018585
1,1,0,1,1,1,0,0,0,0,1,0,0.3185608983039856
1,0,0,1,0,1,1,1,1,0,0,1,0.31952932476997375
0,1,0,1,0,1,0,0,0,1,0,0,0.05973096564412117
0,1,0,0,1,0,1,0,0,1,1,1,0.11964903771877289
1,1,1,0,0,1,1,0,1,1,1,1,0.32857924699783325
1,1,1,1,0,0,0,0,1,0,0,1,0.31890493631362915
0,0,0,0,1,0,1,0,1,0,0,0,0.08736392110586166
0,0,1,1,1,1,1,0,1,0,1,0,0.11193528026342392
1,0,1,1,0,0,0,1,0,0,0,1,0.31448280811309814
0,0,1,1,0,0,1,1,1,0,0,1,0.10225168615579605
1,1,0,1,0,1,1,1,0,0,1,1,0.32800430059432983
0,1,0,0,0,0,0,0,0,0,0,0,0.05049063637852669
1,1,0,0,1,0,1,0,1,0,1,0,0.32732123136520386
0,1,0,1,0,0,1,1,0,0,0,0,0.10519983619451523
0,0,0,1,0,1,0,1,0,0,1,1,0.08682586997747421
0,1,1,0,1,0,0,0,1,0,1,0,0.11019637435674667
0,1,0,1,1,1,0,1,1,1,0,0,0.1001058965921402
0,1,1,0,1,1,0,1,1,1,0,1,0.11524288356304169
1,0,0,1,1,1,0,0,0,1,1,1,0.3152766823768616
1,1,1,0,1,1,0,0,0,0,0,0,0.3163853585720062
0,1,0,1,1,1,1,0,1,1,1,1,0.12725608050823212
0,0,0,1,1,1,1,1,0,0,1,1,0.11839036643505096
0,1,0,1,1,0,1,1,1,1,1,0,0.1334105283021927
0,0,0,0,1,1,1,0,1,0,1,1,0.10814676433801651
1,1,1,1,1,0,1,0,0,0,1,1,0.32867684960365295
0,1,0,1,1,0,1,1,0,0,0,1,0.11648503690958023
0,1,1,1,0,0,0,0,0,0,0,1,0.07613620907068253
0,0,0,0,1,0,0,0,0,0,0,0,0.038322336971759796
1,1,1,0,1,0,1,1,0,0,1,0,0.3294547498226166
1,1,0,0,1,0,0,0,0,0,1,0,0.317064106464386
1,0,0,0,0,1,0,0,1,0,0,0,0.30795416235923767
0,1,1,0,0,1,0,0,1,1,1,0,0.09988272190093994
1,1,0,1,0,0,1,1,0,1,0,0,0.3244084119796753
0,0,1,1,1,0,0,1,0,0,0,1,0.08262509107589722
1,1,1,0,1,1,1,1,1,1,1,1,0.331315815448761
0,0,0,1,1,1,0,0,0,0,0,0,0.042306479066610336
1,0,1,0,0,1,0,0,1,0,0,1,0.3127996325492859
0,1,1,0,1,1,0,1,0,1,0,0,0.09936061501502991
0,1,0,1,0,0,1,0,0,0,1,0,0.10737945139408112
1,1,1,0,1,0,1,1,1,0,0,1,0.3282244801521301
1,0,0,1,0,1,1,0,1,0,0,1,0.316759318113327
1,1,1,1,0,0,1,0,1,0,0,1,0.3257911801338196
0,0,1,0,1,1,0,1,1,1,1,1,0.10755676031112671
0,0,0,1,1,1,1,1,0,1,1,1,0.1186237558722496
1,0,1,0,1,1,0,0,1,0,1,0,0.3200865387916565
0,0,1,0,0,1,0,1,1,1,1,1,0.10158300399780273
1,0,1,1,0,1,1,1,0,1,1,0,0.3280860483646393
0,1,0,1,0,1,0,1,0,0,0,1,0.07667318731546402
