/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,1,0,1,0,0,0,1,0,1,0,1,35.55420684814453
0,1,0,0,0,1,0,0,1,0,0,0,43.02408218383789
1,0,0,1,1,0,1,0,0,1,0,0,30.734569549560547
1,0,1,0,0,1,0,1,0,1,1,1,29.888996124267578
0,0,1,1,1,1,1,1,1,0,1,0,34.72118377685547
0,0,0,1,0,0,1,0,1,0,0,1,40.54966735839844
0,0,1,0,1,1,1,1,0,0,1,0,38.12469482421875
0,0,0,1,1,0,0,0,0,1,1,1,39.91679763793945
0,0,0,0,1,1,0,1,0,1,0,1,38.6437873840332
1,0,0,0,0,0,1,0,0,0,1,0,31.282672882080078
1,0,0,0,1,0,0,0,1,1,1,0,30.99765396118164
0,1,1,0,0,1,0,1,1,0,1,0,37.342098236083984
1,0,1,0,0,0,1,0,0,0,0,1,31.18609619140625
1,1,1,0,1,0,1,0,0,0,0,1,31.005573272705078
0,0,1,0,1,0,0,1,0,1,1,1,38.37989807128906
1,0,0,0,1,1,1,0,1,0,1,0,31.15875816345215
0,0,0,0,0,0,0,0,1,0,0,0,49.194366455078125
1,1,1,1,1,1,1,0,0,1,0,0,30.285717010498047
0,0,0,1,1,1,0,1,1,0,1,1,34.813106536865234
0,1,1,0,1,1,0,0,0,0,1,1,40.07135772705078
0,0,1,0,1,0,0,1,0,0,1,0,38.88099670410156
0,0,0,0,1,1,1,0,0,0,0,1,45.145755767822266
1,0,0,1,0,1,1,1,1,1,1,0,29.192977905273438
0,0,1,0,0,1,1,0,1,1,1,0,41.580074310302734
0,0,1,0,0,0,1,1,1,0,1,0,38.464759826660156
1,1,0,0,1,0,1,1,0,1,0,0,30.34235191345215
0,0,0,0,0,1,1,0,0,1,0,1,44.826629638671875
1,0,1,0,1,1,0,0,0,0,0,1,30.987695693969727
1,0,0,0,0,0,1,1,1,0,0,0,30.318822860717773
1,0,1,1,1,1,1,1,1,1,1,0,29.076303482055664
1,0,0,0,1,0,0,0,1,1,0,0,31.24724769592285
0,0,1,0,1,1,0,1,0,0,0,1,38.15239334106445
0,1,1,1,1,0,1,1,1,0,1,0,34.877403259277344
0,1,0,0,0,0,0,0,1,0,1,1,41.303226470947266
1,1,0,0,1,0,0,0,1,1,0,1,31.00897789001465
0,0,1,0,0,1,1,1,1,1,1,0,37.68224334716797
1,1,0,0,0,1,1,0,1,0,1,0,30.989233016967773
0,1,1,0,0,1,0,1,1,1,0,0,37.61280059814453
0,0,0,1,1,1,0,1,0,0,0,0,35.48851013183594
0,1,1,1,0,0,1,0,0,1,0,1,39.68818283081055
0,0,1,1,0,0,1,0,0,0,0,0,41.374324798583984
0,1,1,0,1,1,0,0,1,1,0,1,40.38922119140625
