block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
1,0,0,1,0,0,0,1,0,0,0,0,0.4036004267049168,0.3334331747042229,0.37445934248024637
0,0,1,1,1,0,0,1,1,1,1,0,0.39540019265555065,0.3266611505173365,0.3649443805421753
0,1,1,0,0,0,1,1,0,0,0,0,0.40843137850454264,0.3340450133392891,0.36415042932621916
0,0,1,0,1,1,1,1,1,1,1,1,0.4169018885569932,0.3471850363328675,0.3850156060310904
1,1,1,0,1,1,1,1,1,0,0,0,0.3931326462927081,0.3279467981007709,0.3597898267991976
1,0,0,0,1,0,1,1,0,0,0,0,0.40187965963159045,0.33301649121621757,0.3747557144823617
1,0,1,1,1,1,0,1,0,0,1,0,0.40214709675134414,0.33615823161062874,0.3796138474554099
1,1,0,0,1,1,0,0,0,0,0,0,0.38888135474523766,0.32481998352822167,0.36417601666249727
0,0,0,0,0,0,1,1,0,1,0,0,0.41265536890437265,0.33496955362794817,0.37191817785618553
0,0,0,0,1,0,1,0,0,1,1,0,0.4177537157313982,0.33918326617994154,0.38063333079863126
1,1,1,1,0,1,1,0,1,1,1,0,0.40074298270803943,0.3315315431465112,0.3667405784126029
0,0,1,1,1,0,0,1,0,0,0,0,0.39952831271416406,0.33098547069568396,0.37089146533107475
1,0,1,1,0,1,0,0,1,0,1,0,0.39800279031038593,0.33163069171060167,0.3737735758581825
1,1,0,0,1,0,1,0,0,1,1,0,0.4063378083640127,0.3367836456437771,0.3741043459850066
1,0,0,0,1,1,0,0,0,1,1,1,0.40484381558158933,0.3373853858907511,0.3766575450517099
1,1,1,1,1,1,0,0,0,1,0,0,0.3972391800144928,0.3345442319081506,0.37309178557069
0,0,1,0,1,0,0,1,0,0,1,0,0.4033924688930454,0.33060317677590667,0.3711010252900584
1,1,1,0,1,1,1,1,1,0,0,1,0.4106952777218001,0.3455392247057224,0.371507671782622
0,1,0,0,1,0,0,1,0,0,0,1,0.40600686261050095,0.3353524806186164,0.3718073915354899
1,1,0,0,0,1,1,1,1,1,0,1,0.42920644338240904,0.3514726804805104,0.3777438474657622
1,0,1,0,0,1,1,1,1,0,0,0,0.3928187033863661,0.32735272256904985,0.36758499501453845
1,0,0,0,0,0,0,1,0,1,0,0,0.40498014176851715,0.33363887831618644,0.37412094993008777
0,0,0,1,0,0,0,1,1,0,0,0,0.40501635871096536,0.3319767393696521,0.370891334936188
0,1,1,1,1,1,1,0,1,1,1,0,0.41025952527437576,0.3368192491381811,0.377588133621167
1,1,1,0,0,1,0,0,1,0,0,1,0.4010435716371183,0.33502159336933657,0.3735329920662262
1,1,0,0,0,1,0,0,1,0,1,1,0.40252561088149713,0.33535236300488086,0.3734869710834694
0,0,0,1,0,0,1,0,0,1,0,1,0.41756759119364956,0.34121989583157897,0.3797675674819149
0,1,0,0,0,0,0,0,1,0,1,1,0.4183782514616827,0.3471074712951757,0.3839582083885825
1,1,1,1,0,0,0,0,0,0,0,1,0.40633857534316625,0.33962118328037544,0.3810260635410031
0,0,1,0,1,0,0,1,1,1,1,1,0.4146602886491271,0.3438294106031042,0.38421185569536176
0,0,0,1,1,1,0,0,1,1,1,0,0.40564989462341206,0.3330953624013132,0.37334998393613494
1,1,0,1,1,0,0,1,1,0,0,1,0.40247070936800966,0.3359085177733351,0.3717022517642581
1,0,1,1,1,0,1,1,1,1,0,0,0.4106857141049585,0.3387515061102385,0.3777966785358506
0,1,1,0,0,0,1,0,0,0,1,0,0.4108718230570887,0.33749714841878564,0.3797453121939499
1,0,1,0,1,1,0,0,1,0,0,0,0.39262463513582574,0.32800549561465575,0.36550740050645636
0,1,0,0,1,0,1,0,1,1,0,1,0.41474177416767294,0.33926099562046763,0.38180733142391615
1,0,1,1,1,0,0,0,0,1,1,0,0.40153109550057003,0.33334971341456104,0.36984086561138185
1,1,0,0,0,1,1,0,1,0,0,0,0.4015376119707776,0.33058254487246164,0.37018604919500486
0,0,1,0,0,0,1,1,1,0,0,0,0.4078135924355618,0.3365239437283333,0.37804203149376353
0,1,0,1,0,0,0,1,1,0,0,0,0.40605278114969773,0.32932399693378656,0.3597170236928044
1,1,0,0,1,1,1,0,0,0,1,0,0.4041941675432068,0.33667436828659275,0.3760108525243099
0,0,1,1,1,0,1,0,1,0,1,1,0.4208330377598229,0.34712143805931817,0.3852366211730112
1,1,0,0,0,0,0,1,1,1,0,0,0.3916336629941693,0.32485660354774826,0.3611223816561578
