/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,1,0,1,0,0,0,1,0,1,0,1,1012.4542236328125
0,1,0,0,0,1,0,0,1,0,0,0,573.055419921875
1,0,0,1,1,0,1,0,0,1,0,0,2579.23974609375
1,0,1,0,0,1,0,1,0,1,1,1,2749.52294921875
0,0,1,1,1,1,1,1,1,0,1,0,1118.232177734375
0,0,0,1,0,0,1,0,1,0,0,1,628.52197265625
0,0,1,0,1,1,1,1,0,0,1,0,773.7830200195312
0,0,0,1,1,0,0,0,0,1,1,1,690.9070434570312
0,0,0,0,1,1,0,1,0,1,0,1,730.938232421875
1,0,0,0,0,0,1,0,0,0,1,0,2578.283203125
1,0,0,0,1,0,0,0,1,1,1,0,2640.329833984375
0,1,1,0,0,1,0,1,1,0,1,0,884.3428955078125
1,0,1,0,0,0,1,0,0,0,0,1,2528.8330078125
1,1,1,0,1,0,1,0,0,0,0,1,2559.51123046875
0,0,1,0,1,0,0,1,0,1,1,1,757.6339111328125
1,0,0,0,1,1,1,0,1,0,1,0,2558.032958984375
0,0,0,0,0,0,0,0,1,0,0,0,288.2283630371094
1,1,1,1,1,1,1,0,0,1,0,0,2685.37939453125
0,0,0,1,1,1,0,1,1,0,1,1,1117.0081787109375
0,1,1,0,1,1,0,0,0,0,1,1,771.208251953125
0,0,1,0,1,0,0,1,0,0,1,0,699.853271484375
0,0,0,0,1,1,1,0,0,0,0,1,474.1268615722656
1,0,0,1,0,1,1,1,1,1,1,0,2797.4296875
0,0,1,0,0,1,1,0,1,1,1,0,633.9306030273438
0,0,1,0,0,0,1,1,1,0,1,0,751.1641845703125
1,1,0,0,1,0,1,1,0,1,0,0,2586.242431640625
0,0,0,0,0,1,1,0,0,1,0,1,482.4879455566406
1,0,1,0,1,1,0,0,0,0,0,1,2578.55712890625
1,0,0,0,0,0,1,1,1,0,0,0,2599.870361328125
1,0,1,1,1,1,1,1,1,1,1,0,2823.422607421875
1,0,0,0,1,0,0,0,1,1,0,0,2547.227294921875
0,0,1,0,1,1,0,1,0,0,0,1,765.5333862304688
0,1,1,1,1,0,1,1,1,0,1,0,1117.4586181640625
0,1,0,0,0,0,0,0,1,0,1,1,698.7825927734375
1,1,0,0,1,0,0,0,1,1,0,1,2582.96044921875
0,0,1,0,0,1,1,1,1,1,1,0,828.0626220703125
1,1,0,0,0,1,1,0,1,0,1,0,2596.990234375
0,1,1,0,0,1,0,1,1,1,0,0,836.0096435546875
0,0,0,1,1,1,0,1,0,0,0,0,1008.7390747070312
0,1,1,1,0,0,1,0,0,1,0,1,712.8214111328125
0,0,1,1,0,0,1,0,0,0,0,0,531.1810302734375
0,1,1,0,1,1,0,0,1,1,0,1,721.7587890625
1,0,1,0,0,1,0,1,1,0,0,0,2604.66455078125
1,0,0,0,0,0,1,1,0,0,1,1,2651.85595703125
0,0,1,1,0,1,1,1,0,1,0,0,1048.975341796875
0,0,1,0,0,1,1,0,1,1,1,1,702.7603759765625
0,0,1,1,0,0,1,1,0,0,0,0,969.5265502929688
1,1,1,1,1,1,1,1,1,0,0,0,2783.149658203125
1,0,0,0,1,1,0,0,0,1,0,1,2542.45556640625
0,0,0,0,0,0,1,1,0,0,1,0,629.0194091796875
0,1,1,0,0,0,1,0,0,0,0,0,510.3946228027344
1,0,0,0,1,0,1,0,0,0,1,0,2579.28369140625
0,1,0,1,1,1,0,1,1,1,1,0,1145.9373779296875
1,0,1,1,1,0,1,0,0,1,1,0,2681.6923828125
0,0,1,1,0,1,1,0,1,1,1,0,773.0576171875
0,0,1,1,1,1,1,1,1,0,1,1,1150.83740234375
1,0,1,1,1,0,0,1,0,1,0,1,2734.544189453125
1,1,0,1,0,1,1,0,0,1,0,1,2670.679443359375
0,0,1,0,0,0,1,0,0,0,1,0,465.5872497558594
0,0,1,1,1,1,1,1,0,1,1,1,1112.995849609375
1,1,1,1,0,1,1,0,1,1,1,1,2752.60205078125
1,0,0,0,1,0,0,0,0,0,1,0,2576.28369140625
1,1,0,1,1,1,1,1,0,0,0,0,2778.69873046875
0,1,1,0,0,0,1,1,0,0,0,0,713.6558837890625
1,1,1,1,0,0,0,0,0,1,0,1,2632.2744140625
0,1,0,1,0,1,0,0,0,1,0,1,724.4462280273438
0,1,0,1,0,1,1,1,1,1,0,0,1089.120361328125
1,0,1,1,1,1,0,1,1,1,1,0,2819.49951171875
0,1,1,1,1,0,0,0,0,1,0,0,668.3740234375
1,0,0,1,0,1,1,1,0,1,1,0,2861.490478515625
1,0,1,0,0,0,1,0,0,1,1,1,2608.230712890625
1,1,0,0,1,0,0,0,1,1,1,0,2679.321044921875
0,1,0,1,0,0,0,1,0,1,0,0,984.1272583007812
1,0,0,0,0,0,0,0,0,1,0,0,2480.78076171875
0,1,0,1,0,0,0,1,1,1,0,1,1070.138916015625
0,0,0,0,1,0,1,1,1,0,0,0,633.1708984375
0,0,0,0,1,0,1,0,0,1,0,0,248.95718383789062
0,0,1,1,1,0,0,1,0,1,1,1,1046.04296875
1,1,1,0,1,0,1,0,0,0,0,0,2544.236572265625
0,0,1,1,1,0,1,0,1,0,1,0,714.8982543945312
1,0,0,1,1,0,0,0,0,0,1,1,2673.114013671875
1,0,0,1,1,1,1,0,0,1,0,1,2642.61767578125
1,0,1,1,1,0,1,0,1,0,0,1,2642.994384765625
1,1,1,0,0,0,1,0,0,1,0,0,2538.31884765625
1,0,1,0,1,0,0,1,1,1,0,0,2655.910888671875
1,1,1,1,0,1,0,0,0,1,0,0,2684.6796875
0,1,1,1,1,1,1,1,0,1,0,1,1116.461669921875
0,1,0,1,1,1,1,1,1,0,0,1,1110.3170166015625
0,1,1,1,1,1,1,0,1,0,1,0,864.0621337890625
1,1,0,1,0,1,0,0,1,0,0,0,2623.991943359375
0,0,1,1,1,1,1,1,1,0,0,1,1110.512451171875
0,1,0,0,0,0,0,0,0,1,0,1,530.8926391601562
1,1,1,1,0,1,0,1,1,0,1,1,2851.62255859375
1,1,1,0,1,1,0,0,0,0,1,1,2695.49658203125
0,0,1,1,0,1,0,1,0,0,1,1,1095.778564453125
1,0,0,1,1,0,0,1,1,1,1,1,2863.42822265625
1,0,0,1,0,1,1,0,0,1,0,0,2638.8671875
1,0,0,1,0,1,1,1,1,1,0,1,2748.52783203125
1,0,0,1,0,0,1,1,0,1,1,1,2798.4169921875
0,1,1,1,0,0,0,1,0,0,0,0,1006.0435791015625
1,0,0,1,0,1,0,0,0,0,1,1,2714.787353515625
0,1,1,1,1,1,0,0,0,1,0,1,783.3159790039062
1,1,1,1,0,0,1,1,1,0,1,1,2900.515869140625
1,0,0,1,0,1,0,1,1,0,0,1,2740.080322265625
0,1,0,0,0,0,0,0,1,1,0,1,603.5238647460938
0,0,0,0,0,0,0,1,0,0,0,1,598.0896606445312
1,1,0,1,1,0,0,0,1,0,0,1,2632.62060546875
1,1,1,0,0,0,1,0,0,0,0,0,2544.265869140625
1,0,0,1,0,0,0,1,0,0,0,1,2718.7265625
1,1,0,1,1,1,1,0,1,0,1,0,2695.602783203125
0,0,1,1,0,0,1,1,1,1,1,0,1099.0565185546875
1,1,1,1,1,0,1,0,0,1,0,0,2619.68359375
0,1,0,1,0,1,0,0,1,1,1,1,861.7763671875
0,1,0,1,0,0,0,1,1,0,0,0,1015.033203125
