/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.004072844050824642
1,0,0,0,0,1,1,0,1,1,0,1,0.003562740283086896
0,1,0,0,1,0,1,1,0,0,0,1,0.0010188083397224545
1,1,0,0,0,1,0,1,0,1,0,1,0.003753410652279854
0,0,1,0,1,1,1,0,1,1,0,0,0.0007812021067366004
0,1,0,1,1,0,0,0,0,1,1,0,0.0010226370068266988
0,0,1,0,0,0,0,1,1,1,1,0,0.0011181082809343934
0,1,1,1,0,0,0,0,1,0,0,0,0.0009864764288067818
0,1,1,1,0,1,1,1,0,1,1,1,0.001617120928131044
0,0,1,1,1,0,0,0,0,0,0,0,0.0007767992792651057
1,0,0,0,0,1,1,0,0,0,0,1,0.0035966173745691776
1,1,1,0,0,1,1,0,1,1,0,1,0.0036536194384098053
0,1,1,0,0,1,1,1,0,1,0,1,0.0011875618947669864
1,0,0,0,1,0,1,0,0,0,0,1,0.0035346229560673237
0,0,1,0,1,0,1,1,1,0,0,1,0.0010554916225373745
0,1,1,1,1,0,0,0,1,1,0,1,0.001123881316743791
0,1,1,1,1,1,0,1,1,0,1,0,0.0016431377734988928
1,1,0,1,1,1,0,0,0,0,1,0,0.0038523271214216948
1,0,0,1,0,1,1,1,1,0,0,1,0.003885930869728327
0,1,0,1,0,1,0,0,0,1,0,0,0.0009531237883493304
0,1,0,0,1,0,1,0,0,1,1,1,0.0009850559290498495
1,1,1,0,0,1,1,0,1,1,1,1,0.0037780371494591236
1,1,1,1,0,0,0,0,1,0,0,1,0.0037791740614920855
0,0,0,0,1,0,1,0,1,0,0,0,0.00046394378296099603
0,0,1,1,1,1,1,0,1,0,1,0,0.001096017425879836
1,0,1,1,0,0,0,1,0,0,0,1,0.0038963512051850557
0,0,1,1,0,0,1,1,1,0,0,1,0.001472815521992743
1,1,0,1,0,1,1,1,0,0,1,1,0.004080730956047773
0,1,0,0,0,0,0,0,0,0,0,0,0.0005577635020017624
1,1,0,0,1,0,1,0,1,0,1,0,0.003746757283806801
0,1,0,1,0,0,1,1,0,0,0,0,0.0013802823377773166
0,0,0,1,0,1,0,1,0,0,1,1,0.0015255141770467162
0,1,1,0,1,0,0,0,1,0,1,0,0.0010062565561383963
0,1,0,1,1,1,0,1,1,1,0,0,0.0015542174223810434
0,1,1,0,1,1,0,1,1,1,0,1,0.0012504791375249624
1,0,0,1,1,1,0,0,0,1,1,1,0.0038916978519409895
1,1,1,0,1,1,0,0,0,0,0,0,0.00366317224688828
0,1,0,1,1,1,1,0,1,1,1,1,0.0012617968022823334
0,0,0,1,1,1,1,1,0,0,1,1,0.0015448459889739752
0,1,0,1,1,0,1,1,1,1,1,0,0.0015923784812912345
0,0,0,0,1,1,1,0,1,0,1,1,0.0009524232591502368
1,1,1,1,1,0,1,0,0,0,1,1,0.003874725429341197
0,1,0,1,1,0,1,1,0,0,0,1,0.0014433807227760553
0,1,1,1,0,0,0,0,0,0,0,1,0.0009847793262451887
0,0,0,0,1,0,0,0,0,0,0,0,0.00020088946621399373
1,1,1,0,1,0,1,1,0,0,1,0,0.0038430984131991863
1,1,0,0,1,0,0,0,0,0,1,0,0.003690553829073906
1,0,0,0,0,1,0,0,1,0,0,0,0.003532178234308958
0,1,1,0,0,1,0,0,1,1,1,0,0.0010675628436729312
1,1,0,1,0,0,1,1,0,1,0,0,0.0038676231633871794
0,0,1,1,1,0,0,1,0,0,0,1,0.0014235872076824307
1,1,1,0,1,1,1,1,1,1,1,1,0.0038777613081038
0,0,0,1,1,1,0,0,0,0,0,0,0.0008198375580832362
1,0,1,0,0,1,0,0,1,0,0,1,0.0035988246090710163
0,1,1,0,1,1,0,1,0,1,0,0,0.0011546247405931354
0,1,0,1,0,0,1,0,0,0,1,0,0.0009650081628933549
1,1,1,0,1,0,1,1,1,0,0,1,0.0037725779693573713
1,0,0,1,0,1,1,0,1,0,0,1,0.00369848171249032
1,1,1,1,0,0,1,0,1,0,0,1,0.0037814087700098753
0,0,1,0,1,1,0,1,1,1,1,1,0.0012410508934408426
