output_name,gb__learning_rate,gb__max_depth,gb__min_samples_leaf,gb__min_samples_split,gb__n_estimators,score
map50,0.1,5,1,2,200,0.908443233746857
map50_95,0.1,5,1,2,200,0.8839444203942028
map75,0.1,5,1,2,200,0.8779380984952624
map50,0.05,5,1,2,300,0.9018080308537756
map50_95,0.1,5,1,2,200,0.878088583616852
map75,0.05,5,1,2,300,0.8712930065159383
map50,0.1,5,1,2,200,0.908443233746857
map50_95,0.1,5,1,2,200,0.8839444203942028
map75,0.1,5,1,2,200,0.8779380984952624
