/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,1,0,0,1,0,0,0,0,0,319.00408935546875
1,0,0,1,0,1,1,1,0,0,1,1,319.3291320800781
1,1,1,1,1,1,1,1,1,1,0,0,343.36480712890625
0,0,1,0,1,1,1,1,0,0,0,0,242.7244110107422
1,0,1,0,0,1,0,0,0,0,0,0,318.08514404296875
0,0,1,0,0,0,0,0,0,0,0,0,32.94271469116211
0,1,0,0,0,1,0,0,0,0,1,0,122.54267883300781
0,1,1,1,1,1,0,1,1,1,0,1,282.9453125
0,0,1,0,0,1,0,0,0,1,0,1,182.5101318359375
0,1,0,1,1,0,1,0,0,0,1,1,242.74575805664062
0,1,0,1,0,1,1,1,1,1,1,0,233.22555541992188
0,1,0,1,0,0,0,0,1,0,1,0,196.66221618652344
0,1,1,1,0,1,0,1,1,1,0,1,230.5928955078125
1,1,0,0,0,0,1,1,0,0,0,0,317.3646545410156
0,1,1,1,1,1,0,1,0,1,1,1,272.6956481933594
1,1,0,1,0,0,1,0,0,0,0,1,317.1225891113281
1,1,1,1,0,1,1,1,1,1,1,1,322.196533203125
0,0,0,1,0,1,0,0,1,0,1,0,194.9456024169922
1,1,0,1,1,0,0,1,1,0,0,0,341.0557861328125
0,0,0,0,0,0,0,1,1,1,0,0,225.2376708984375
1,1,1,1,0,0,1,1,1,1,1,0,322.36492919921875
1,0,1,1,0,1,0,1,1,0,1,1,317.7926330566406
0,1,1,1,1,1,1,1,1,1,0,1,282.9453125
1,1,1,1,1,1,0,1,1,1,1,1,344.5107727050781
0,0,0,0,0,0,0,0,0,0,1,1,127.1301040649414
1,0,0,1,0,1,0,0,1,0,1,0,320.1468200683594
1,1,1,1,1,1,1,0,1,1,1,1,344.3836669921875
1,1,0,0,0,1,1,0,0,0,1,1,319.4460144042969
1,0,1,1,0,1,1,0,0,1,1,0,325.81817626953125
1,0,1,1,1,1,0,0,1,1,0,1,343.5860900878906
0,0,1,1,1,0,1,1,0,1,0,0,257.9150390625
1,1,1,1,1,1,1,0,1,1,0,0,343.98626708984375
1,1,0,0,0,1,0,1,0,1,0,1,319.41558837890625
1,1,1,0,1,1,1,1,0,1,1,1,329.52374267578125
0,0,0,1,1,1,1,0,0,0,1,1,237.892822265625
0,0,0,0,0,1,0,0,0,0,0,0,11.790173530578613
1,1,0,1,1,0,1,1,1,1,0,0,343.2779235839844
0,1,0,0,1,0,0,0,0,1,0,1,263.61993408203125
0,0,0,1,0,1,0,1,0,0,0,0,31.01806640625
1,1,1,1,1,0,1,1,0,1,1,1,329.14324951171875
1,0,0,0,1,0,0,0,0,0,0,1,334.64349365234375
1,1,1,1,1,1,1,1,0,1,1,1,329.14324951171875
0,0,1,0,0,1,0,1,0,0,1,0,116.25809478759766
0,0,0,0,0,0,0,0,0,0,0,1,51.6706428527832
1,0,1,1,1,1,1,1,1,1,0,1,343.6282653808594
0,1,1,0,1,0,1,0,1,1,0,0,278.8102111816406
0,0,0,1,0,0,0,0,1,0,0,0,179.22657775878906
0,0,0,0,0,0,0,1,0,1,0,0,177.948486328125
1,1,0,0,0,1,0,0,0,0,1,1,319.4460144042969
1,0,1,1,1,1,1,1,1,0,1,1,346.4485168457031
0,1,1,1,0,0,0,0,0,0,1,0,125.93094635009766
1,1,1,1,0,1,1,1,0,1,0,1,319.7127685546875
1,1,1,1,1,1,0,1,0,1,1,0,327.13751220703125
0,1,0,0,0,0,1,0,1,0,0,0,183.79367065429688
0,0,1,1,0,1,1,1,1,0,1,0,201.6084442138672
1,1,0,0,0,0,1,1,0,0,1,0,320.46490478515625
1,0,1,0,1,1,1,0,1,0,1,0,345.5798645019531
1,1,1,1,0,1,1,0,1,1,0,0,315.24658203125
0,1,0,1,0,1,0,0,0,0,1,0,121.3427734375
0,0,1,0,1,1,1,1,0,1,1,0,269.26507568359375
0,1,0,0,1,1,0,0,1,0,1,1,253.34744262695312
1,0,1,1,0,1,1,1,0,0,1,1,319.6280212402344
0,0,0,1,0,0,0,1,0,0,0,0,31.01806640625
0,0,1,1,1,0,0,1,1,0,0,0,249.43881225585938
1,1,1,1,1,1,0,0,1,1,0,0,343.98626708984375
1,1,1,1,1,0,1,1,1,1,0,1,344.3103942871094
1,0,1,1,0,0,1,0,0,0,0,1,319.0313415527344
1,0,0,0,0,0,0,0,0,0,0,0,318.7562561035156
1,1,1,1,0,0,0,1,1,1,1,1,322.196533203125
0,0,0,1,0,1,0,1,1,1,1,1,238.9126739501953
0,1,0,1,1,1,1,1,0,1,0,1,262.67718505859375
