/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,0,1,1,1,1,1,0,1,1,0,0.0038691735826432705
1,1,1,1,1,1,0,0,1,1,1,1,0.00439425790682435
1,0,1,1,1,1,0,1,1,1,1,1,0.004426244646310806
1,1,1,1,1,1,1,1,1,1,0,1,0.004318281076848507
1,0,0,1,0,0,1,0,0,0,0,0,0.003643319709226489
1,0,0,1,0,1,1,1,0,0,1,1,0.003838219912722707
1,1,1,1,1,1,1,1,1,1,0,0,0.0042875115759670734
0,0,1,0,1,1,1,1,0,0,0,0,0.0024909607600420713
1,0,1,0,0,1,0,0,0,0,0,0,0.003728852840140462
0,0,1,0,0,0,0,0,0,0,0,0,0.0003771819465328008
0,1,0,0,0,1,0,0,0,0,1,0,0.000979616423137486
0,1,1,1,1,1,0,1,1,1,0,1,0.003150989767163992
0,0,1,0,0,1,0,0,0,1,0,1,0.0016937978798523545
0,1,0,1,1,0,1,0,0,0,1,1,0.0024959403090178967
0,1,0,1,0,1,1,1,1,1,1,0,0.002384605584666133
0,1,0,1,0,0,0,0,1,0,1,0,0.0017597511177882552
0,1,1,1,0,1,0,1,1,1,0,1,0.002384129911661148
1,1,0,0,0,0,1,1,0,0,0,0,0.0037148259580135345
0,1,1,1,1,1,0,1,0,1,1,1,0.0029767861124128103
1,1,0,1,0,0,1,0,0,0,0,1,0.0036931964568793774
1,1,1,1,0,1,1,1,1,1,1,1,0.004202027805149555
0,0,0,1,0,1,0,0,1,0,1,0,0.001722025452181697
1,1,0,1,1,0,0,1,1,0,0,0,0.004194378387182951
0,0,0,0,0,0,0,1,1,1,0,0,0.002187755424529314
1,1,1,1,0,0,1,1,1,1,1,0,0.004141271114349365
1,0,1,1,0,1,0,1,1,0,1,1,0.004064993467181921
0,1,1,1,1,1,1,1,1,1,0,1,0.00311551196500659
1,1,1,1,1,1,0,1,1,1,1,1,0.004437043331563473
0,0,0,0,0,0,0,0,0,0,1,1,0.000937324482947588
1,0,0,1,0,1,0,0,1,0,1,0,0.00393471447750926
1,1,1,1,1,1,1,0,1,1,1,1,0.004326347261667252
1,1,0,0,0,1,1,0,0,0,1,1,0.0037900074385106564
1,0,1,1,0,1,1,0,0,1,1,0,0.004020431078970432
1,0,1,1,1,1,0,0,1,1,0,1,0.00433354964479804
0,0,1,1,1,0,1,1,0,1,0,0,0.0026973593048751354
1,1,1,1,1,1,1,0,1,1,0,0,0.004242629744112492
1,1,0,0,0,1,0,1,0,1,0,1,0.0039245737716555595
1,1,1,0,1,1,1,1,0,1,1,1,0.00391205120831728
0,0,0,1,1,1,1,0,0,0,1,1,0.0024770009331405163
0,0,0,0,0,1,0,0,0,0,0,0,0.0002763051597867161
1,1,0,1,1,0,1,1,1,1,0,0,0.0042387740686535835
0,1,0,0,1,0,0,0,0,1,0,1,0.0027019826229661703
0,0,0,1,0,1,0,1,0,0,0,0,0.00043056136928498745
1,1,1,1,1,0,1,1,0,1,1,1,0.0039047817699611187
1,0,0,0,1,0,0,0,0,0,0,1,0.003786347806453705
1,1,1,1,1,1,1,1,0,1,1,1,0.003912084270268679
0,0,1,0,0,1,0,1,0,0,1,0,0.0010451956186443567
0,0,0,0,0,0,0,0,0,0,0,1,0.00029528900631703436
1,0,1,1,1,1,1,1,1,1,0,1,0.004315742291510105
0,1,1,0,1,0,1,0,1,1,0,0,0.0030160562600940466
0,0,0,1,0,0,0,0,1,0,0,0,0.001526554231531918
0,0,0,0,0,0,0,1,0,1,0,0,0.0016022420022636652
1,1,0,0,0,1,0,0,0,0,1,1,0.0038426965475082397
1,0,1,1,1,1,1,1,1,0,1,1,0.0041511766612529755
0,1,1,1,0,0,0,0,0,0,1,0,0.0010508470004424453
1,1,1,1,0,1,1,1,0,1,0,1,0.003914909902960062
1,1,1,1,1,1,0,1,0,1,1,0,0.003966230899095535
0,1,0,0,0,0,1,0,1,0,0,0,0.0015783983981236815
0,0,1,1,0,1,1,1,1,0,1,0,0.001842196797952056
1,1,0,0,0,0,1,1,0,0,1,0,0.003790944814682007
1,0,1,0,1,1,1,0,1,0,1,0,0.00406202208250761
1,1,1,1,0,1,1,0,1,1,0,0,0.003944947384297848
0,1,0,1,0,1,0,0,0,0,1,0,0.0009845583699643612
0,0,1,0,1,1,1,1,0,1,1,0,0.002849855925887823
0,1,0,0,1,1,0,0,1,0,1,1,0.002491073217242956
1,0,1,1,0,1,1,1,0,0,1,1,0.0038792132399976254
0,0,0,1,0,0,0,1,0,0,0,0,0.00035504932748153806
0,0,1,1,1,0,0,1,1,0,0,0,0.002470965962857008
1,1,1,1,1,1,0,0,1,1,0,0,0.004305903799831867
1,1,1,1,1,0,1,1,1,1,0,1,0.004317387007176876
1,0,1,1,0,0,1,0,0,0,0,1,0.003710684133693576
1,0,0,0,0,0,0,0,0,0,0,0,0.003678712295368314
1,1,1,1,0,0,0,1,1,1,1,1,0.0042600082233548164
0,0,0,1,0,1,0,1,1,1,1,1,0.002474976936355233
0,1,0,1,1,1,1,1,0,1,0,1,0.0027312482707202435
1,0,0,0,0,0,0,0,1,0,0,0,0.0038389943074434996
0,1,0,1,1,1,0,1,0,0,0,1,0.002517028246074915
1,1,1,0,1,1,1,1,1,1,1,1,0.004364085849374533
0,0,1,1,0,0,1,0,0,0,0,1,0.0005883480771444738
1,0,1,1,1,1,1,1,0,0,1,0,0.0038771387189626694
0,0,0,0,0,1,0,0,0,1,0,0,0.0015589280519634485
1,1,1,1,1,1,1,1,0,1,0,1,0.003966485615819693
1,1,0,0,0,0,0,0,0,1,0,1,0.003858698531985283
1,0,1,0,0,0,1,0,0,1,0,1,0.003813149407505989
1,1,0,1,1,1,1,0,0,0,0,1,0.0037699765525758266
0,0,0,0,1,0,0,1,0,0,0,1,0.0024313079193234444
0,1,0,1,1,1,1,1,1,1,1,1,0.002980979159474373
0,0,1,0,1,0,0,1,0,0,0,0,0.002489055972546339
0,1,0,0,1,0,1,0,0,0,0,1,0.002424852456897497
0,1,0,0,0,0,1,0,0,1,1,0,0.0018737881910055876
1,0,1,1,1,1,1,1,1,1,1,1,0.004361593164503574
0,0,1,1,0,0,0,1,0,1,0,0,0.0016500146593898535
0,0,1,1,0,0,0,0,0,0,1,0,0.000955244991928339
1,1,1,1,0,1,0,0,1,1,1,1,0.004220089875161648
1,1,0,1,1,1,1,1,1,0,1,1,0.00411563366651535
0,0,0,0,1,0,0,0,0,0,0,1,0.002392193302512169
0,0,0,0,0,0,0,0,1,0,0,1,0.0015812746714800596
1,1,0,1,0,0,0,0,0,1,0,1,0.003869392676278949
0,0,0,0,0,0,0,0,0,1,0,0,0.0015338740777224302
1,1,1,0,1,1,0,0,0,0,0,1,0.0038470043800771236
1,1,0,0,1,0,0,1,0,0,1,1,0.003910457249730825
0,0,1,1,1,1,0,1,0,1,1,1,0.0029316958971321583
1,0,0,0,1,1,1,1,0,0,1,1,0.0038816530723124743
1,0,1,1,0,0,0,1,1,0,0,1,0.003965742886066437
0,1,0,0,0,0,0,0,0,1,0,1,0.0017154183005914092
1,0,1,1,0,1,1,1,1,0,0,1,0.0039324383251369
0,1,0,0,1,1,1,1,0,1,0,0,0.002691294765099883
0,1,1,0,1,1,1,1,1,0,1,1,0.0025603999383747578
1,1,0,0,1,0,1,1,1,1,1,1,0.004320440348237753
0,1,0,0,1,1,1,0,0,1,1,1,0.0028594285249710083
1,0,1,1,0,0,0,0,0,1,0,1,0.003879846539348364
1,1,1,0,0,0,0,0,0,0,0,1,0.0037591930013149977
0,1,0,0,0,1,0,1,0,1,1,1,0.002098358701914549
0,0,1,1,0,1,0,1,0,1,1,1,0.002095847623422742
0,1,1,0,0,0,0,1,1,0,1,0,0.001868587569333613
0,0,0,0,0,0,1,0,0,1,0,0,0.0015198400942608714
1,0,0,0,0,0,0,0,0,0,0,1,0.0037113979924470186
0,0,1,0,0,0,0,0,0,0,1,1,0.0010159083176404238
1,0,0,0,0,0,1,1,1,1,0,0,0.0039110342040658
0,0,0,0,1,1,1,0,0,0,1,0,0.002445150865241885
1,0,0,1,0,0,0,0,0,0,0,1,0.003721881192177534
0,1,0,0,1,0,0,0,0,0,1,1,0.0025127690751105547
1,0,0,1,1,0,1,1,1,1,1,1,0.004322634544223547
0,0,1,0,0,0,0,1,1,1,0,0,0.0022157812491059303
1,0,0,1,1,1,1,1,0,0,0,1,0.0038002219516783953
0,0,0,0,0,0,0,0,1,1,0,0,0.002131065586581826
0,0,0,0,0,0,1,0,0,0,1,0,0.0008889817399904132
1,1,0,0,1,1,1,1,1,1,0,1,0.004263775888830423
1,1,1,0,0,1,1,0,1,1,1,1,0.0041459850035607815
1,1,1,0,1,1,1,0,1,1,0,0,0.004237462300807238
1,0,0,1,1,1,1,0,0,0,0,0,0.0037070191465318203
0,1,1,0,1,1,1,0,1,1,1,1,0.0029742890037596226
1,0,0,1,1,0,1,0,0,0,1,0,0.0037863876204937696
0,1,0,1,0,1,1,0,0,1,1,1,0.0020114791113883257
0,0,1,1,0,1,1,1,1,1,0,0,0.0022126424591988325
0,1,0,0,0,0,0,0,0,1,0,0,0.001598802744410932
1,0,1,1,1,0,0,0,1,1,0,0,0.0042794509790837765
