/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.3393065631389618
1,0,0,1,1,0,1,0,1,0,0,1,0.30995094776153564
1,0,1,0,1,1,0,0,1,0,1,1,0.32162246108055115
0,1,1,1,1,1,0,1,1,1,1,1,0.22502382099628448
0,0,0,0,1,0,0,0,0,0,0,0,0.16366903483867645
0,0,0,0,1,0,0,0,1,0,0,0,0.16430748999118805
1,1,1,1,1,1,1,0,1,1,0,1,0.33179429173469543
0,0,1,0,0,0,0,0,1,1,0,0,0.16386428475379944
0,1,0,1,0,0,1,0,0,0,0,1,0.062114812433719635
1,1,0,1,1,1,1,1,1,1,1,1,0.33500438928604126
1,1,0,1,1,0,0,1,0,0,0,1,0.29111427068710327
0,1,0,0,0,0,0,0,1,1,1,0,0.17757749557495117
1,0,1,1,1,1,1,1,1,1,1,0,0.33327606320381165
0,0,1,0,0,0,0,0,0,1,1,1,0.14914990961551666
0,0,1,1,0,1,0,1,0,0,0,1,0.06845502555370331
1,1,0,0,1,1,0,1,1,0,1,1,0.32340890169143677
1,1,0,0,1,1,1,0,1,0,0,1,0.3154025375843048
0,1,0,0,0,0,1,0,0,0,0,0,0.05388117954134941
0,0,0,1,0,0,0,0,0,0,0,0,0.017194416373968124
1,1,1,1,1,0,1,1,1,1,1,1,0.33767664432525635
1,1,0,1,1,1,1,1,1,1,1,0,0.33243054151535034
1,1,1,1,1,1,1,1,1,1,1,0,0.3370913565158844
1,1,0,0,1,0,1,1,1,0,1,0,0.3101561665534973
1,1,1,1,1,1,1,0,1,0,1,1,0.31634485721588135
1,0,0,1,0,0,0,1,1,0,0,0,0.30140742659568787
0,1,1,0,0,1,1,0,0,1,0,1,0.14020046591758728
1,1,1,1,0,1,1,1,0,1,1,1,0.3203095495700836
0,0,1,0,0,0,0,0,1,0,0,0,0.12109049409627914
0,0,0,1,1,1,0,1,0,0,0,0,0.1757436841726303
1,0,0,0,0,0,1,0,0,0,0,0,0.27061986923217773
1,0,0,0,1,0,1,1,0,0,1,1,0.28768157958984375
0,0,0,0,0,0,0,1,1,0,0,0,0.11456052958965302
1,0,1,1,0,0,0,0,0,0,1,1,0.29398736357688904
0,1,0,1,0,0,1,0,0,1,1,0,0.14124074578285217
1,1,1,1,1,1,1,1,1,0,1,1,0.32012632489204407
1,1,1,0,0,0,0,0,0,0,0,0,0.28359344601631165
0,1,0,0,1,1,1,0,1,0,1,1,0.18170905113220215
0,0,0,0,1,1,0,0,0,1,0,1,0.19297310709953308
0,0,0,0,0,0,0,1,0,0,0,0,0.015380607917904854
1,1,0,1,1,1,1,1,1,1,0,1,0.32985490560531616
0,0,0,0,0,0,0,0,0,0,1,0,0.06180223822593689
1,0,0,0,0,0,0,0,1,0,1,1,0.30758461356163025
0,0,1,0,0,1,1,1,1,0,0,1,0.14177370071411133
0,1,1,0,1,1,0,0,0,0,1,1,0.19532963633537292
0,0,1,0,0,0,0,0,0,1,0,0,0.11889461427927017
1,0,1,0,1,1,1,1,1,1,0,1,0.3326330780982971
0,0,0,0,0,0,0,1,0,0,0,1,0.03281516209244728
1,0,1,1,1,1,0,1,0,1,1,1,0.31270796060562134
0,0,0,1,0,0,1,0,0,1,1,0,0.13517752289772034
0,1,0,0,0,0,1,1,1,1,1,1,0.1847945898771286
0,1,1,0,0,0,1,0,0,1,0,0,0.12571720778942108
1,1,1,1,1,0,0,1,0,1,1,1,0.31281980872154236
0,1,1,0,0,0,0,0,0,0,0,0,0.05557503178715706
0,0,0,1,0,1,1,0,0,0,0,1,0.06254506856203079
1,0,1,1,0,0,0,1,0,1,0,1,0.30417078733444214
1,0,0,1,1,1,1,1,0,1,0,0,0.2972204089164734
0,1,0,1,0,1,0,1,0,0,0,0,0.058157868683338165
0,0,0,0,0,0,1,1,0,0,0,0,0.05173002555966377
1,0,1,1,1,0,0,1,0,0,1,0,0.2957880198955536
1,0,0,1,1,1,0,1,1,1,0,1,0.33478790521621704
