/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,1,0,0,1,0,0,0,0,0,31.164546966552734
1,0,0,1,0,1,1,1,0,0,1,1,30.551666259765625
1,1,1,1,1,1,1,1,1,1,0,0,29.269018173217773
0,0,1,0,1,1,1,1,0,0,0,0,34.374542236328125
1,0,1,0,0,1,0,0,0,0,0,0,30.745996475219727
0,0,1,0,0,0,0,0,0,0,0,0,47.38517379760742
0,1,0,0,0,1,0,0,0,0,1,0,41.275699615478516
0,1,1,1,1,1,0,1,1,1,0,1,32.449546813964844
0,0,1,0,0,1,0,0,0,1,0,1,37.37654113769531
0,1,0,1,1,0,1,0,0,0,1,1,34.474822998046875
0,1,0,1,0,1,1,1,1,1,1,0,34.43415832519531
0,1,0,1,0,0,0,0,1,0,1,0,37.0528564453125
0,1,1,1,0,1,0,1,1,1,0,1,34.270774841308594
1,1,0,0,0,0,1,1,0,0,0,0,30.93253517150879
0,1,1,1,1,1,0,1,0,1,1,1,32.79527282714844
1,1,0,1,0,0,1,0,0,0,0,1,30.95631980895996
1,1,1,1,0,1,1,1,1,1,1,1,29.341745376586914
0,0,0,1,0,1,0,0,1,0,1,0,37.28731918334961
1,1,0,1,1,0,0,1,1,0,0,0,29.604557037353516
0,0,0,0,0,0,0,1,1,1,0,0,35.551570892333984
1,1,1,1,0,0,1,1,1,1,1,0,29.53628921508789
1,0,1,1,0,1,0,1,1,0,1,1,29.675323486328125
0,1,1,1,1,1,1,1,1,1,0,1,32.5994987487793
1,1,1,1,1,1,0,1,1,1,1,1,28.87587547302246
0,0,0,0,0,0,0,0,0,0,1,1,43.15114212036133
1,0,0,1,0,1,0,0,1,0,1,0,30.046010971069336
1,1,1,1,1,1,1,0,1,1,1,1,29.233539581298828
1,1,0,0,0,1,1,0,0,0,1,1,30.61285972595215
1,0,1,1,0,1,1,0,0,1,1,0,30.088306427001953
1,0,1,1,1,1,0,0,1,1,0,1,29.15677833557129
0,0,1,1,1,0,1,1,0,1,0,0,33.88214874267578
1,1,1,1,1,1,1,0,1,1,0,0,29.377460479736328
1,1,0,0,0,1,0,1,0,1,0,1,30.084976196289062
1,1,1,0,1,1,1,1,0,1,1,1,29.95879554748535
0,0,0,1,1,1,1,0,0,0,1,1,34.514671325683594
0,0,0,0,0,1,0,0,0,0,0,0,49.840965270996094
1,1,0,1,1,0,1,1,1,1,0,0,29.476797103881836
0,1,0,0,1,0,0,0,0,1,0,1,34.07260513305664
0,0,0,1,0,1,0,1,0,0,0,0,46.46886444091797
1,1,1,1,1,0,1,1,0,1,1,1,30.055450439453125
1,0,0,0,1,0,0,0,0,0,0,1,30.734838485717773
1,1,1,1,1,1,1,1,0,1,1,1,29.962108612060547
0,0,1,0,0,1,0,1,0,0,1,0,40.380409240722656
0,0,0,0,0,0,0,0,0,0,0,1,52.2867546081543
1,0,1,1,1,1,1,1,1,1,0,1,29.2637882232666
0,1,1,0,1,0,1,0,1,1,0,0,33.06657791137695
0,0,0,1,0,0,0,0,1,0,0,0,38.744483947753906
0,0,0,0,0,0,0,1,0,1,0,0,38.73127746582031
1,1,0,0,0,1,0,0,0,0,1,1,30.45149803161621
1,0,1,1,1,1,1,1,1,0,1,1,29.648473739624023
0,1,1,1,0,0,0,0,0,0,1,0,40.59613800048828
1,1,1,1,0,1,1,1,0,1,0,1,30.132171630859375
1,1,1,1,1,1,0,1,0,1,1,0,29.768566131591797
0,1,0,0,0,0,1,0,1,0,0,0,37.982666015625
0,0,1,1,0,1,1,1,1,0,1,0,36.1829833984375
1,1,0,0,0,0,1,1,0,0,1,0,30.74555015563965
1,0,1,0,1,1,1,0,1,0,1,0,29.860992431640625
1,1,1,1,0,1,1,0,1,1,0,0,29.861764907836914
0,1,0,1,0,1,0,0,0,0,1,0,41.22854232788086
0,0,1,0,1,1,1,1,0,1,1,0,33.27861785888672
0,1,0,0,1,1,0,0,1,0,1,1,34.40220260620117
1,0,1,1,0,1,1,1,0,0,1,1,30.40471839904785
0,0,0,1,0,0,0,1,0,0,0,0,50.4886360168457
0,0,1,1,1,0,0,1,1,0,0,0,34.58113098144531
1,1,1,1,1,1,0,0,1,1,0,0,29.1459903717041
1,1,1,1,1,0,1,1,1,1,0,1,29.241418838500977
1,0,1,1,0,0,1,0,0,0,0,1,30.91781997680664
1,0,0,0,0,0,0,0,0,0,0,0,31.103240966796875
1,1,1,1,0,0,0,1,1,1,1,1,29.184307098388672
0,0,0,1,0,1,0,1,1,1,1,1,34.37828826904297
0,1,0,1,1,1,1,1,0,1,0,1,33.68998718261719
1,0,0,0,0,0,0,0,1,0,0,0,30.428600311279297
0,1,0,1,1,1,0,1,0,0,0,1,34.551918029785156
1,1,1,0,1,1,1,1,1,1,1,1,29.12673568725586
0,0,1,1,0,0,1,0,0,0,0,1,43.53373718261719
1,0,1,1,1,1,1,1,0,0,1,0,30.346628189086914
0,0,0,0,0,1,0,0,0,1,0,0,38.58605194091797
1,1,1,1,1,1,1,1,0,1,0,1,29.95943832397461
1,1,0,0,0,0,0,0,0,1,0,1,30.38022232055664
1,0,1,0,0,0,1,0,0,1,0,1,30.54656410217285
