/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,3083.39990234375
1,0,0,1,1,0,1,0,1,0,0,1,2898.068359375
1,0,1,0,1,1,0,0,1,0,1,1,2935.01806640625
0,1,1,1,1,1,0,1,1,1,1,1,2156.55810546875
0,0,0,0,1,0,0,0,0,0,0,0,1689.770263671875
0,0,0,0,1,0,0,0,1,0,0,0,1664.70703125
1,1,1,1,1,1,1,0,1,1,0,1,3017.3896484375
0,0,1,0,0,0,0,0,1,1,0,0,1523.866455078125
0,1,0,1,0,0,1,0,0,0,0,1,430.23846435546875
1,1,0,1,1,1,1,1,1,1,1,1,3055.69677734375
1,1,0,1,1,0,0,1,0,0,0,1,2716.58935546875
0,1,0,0,0,0,0,0,1,1,1,0,1662.1480712890625
1,0,1,1,1,1,1,1,1,1,1,0,3051.46435546875
0,0,1,0,0,0,0,0,0,1,1,1,1427.628173828125
0,0,1,1,0,1,0,1,0,0,0,1,460.80487060546875
1,1,0,0,1,1,0,1,1,0,1,1,2936.85693359375
1,1,0,0,1,1,1,0,1,0,0,1,2906.87646484375
0,1,0,0,0,0,1,0,0,0,0,0,357.00885009765625
0,0,0,1,0,0,0,0,0,0,0,0,122.72871398925781
1,1,1,1,1,0,1,1,1,1,1,1,3082.90234375
1,1,0,1,1,1,1,1,1,1,1,0,3040.28076171875
1,1,1,1,1,1,1,1,1,1,1,0,3069.530517578125
1,1,0,0,1,0,1,1,1,0,1,0,2880.208251953125
1,1,1,1,1,1,1,0,1,0,1,1,2900.18994140625
1,0,0,1,0,0,0,1,1,0,0,0,2749.573486328125
0,1,1,0,0,1,1,0,0,1,0,1,1239.62109375
1,1,1,1,0,1,1,1,0,1,1,1,2916.25048828125
0,0,1,0,0,0,0,0,1,0,0,0,1113.0517578125
0,0,0,1,1,1,0,1,0,0,0,0,1737.490966796875
1,0,0,0,0,0,1,0,0,0,0,0,2564.776123046875
1,0,0,0,1,0,1,1,0,0,1,1,2727.0400390625
0,0,0,0,0,0,0,1,1,0,0,0,1108.2852783203125
1,0,1,1,0,0,0,0,0,0,1,1,2725.45654296875
0,1,0,1,0,0,1,0,0,1,1,0,1324.303466796875
1,1,1,1,1,1,1,1,1,0,1,1,2930.0634765625
1,1,1,0,0,0,0,0,0,0,0,0,2642.093017578125
0,1,0,0,1,1,1,0,1,0,1,1,1750.58203125
0,0,0,0,1,1,0,0,0,1,0,1,1887.4801025390625
0,0,0,0,0,0,0,1,0,0,0,0,216.72561645507812
1,1,0,1,1,1,1,1,1,1,0,1,3011.935546875
0,0,0,0,0,0,0,0,0,0,1,0,596.7568359375
1,0,0,0,0,0,0,0,1,0,1,1,2789.9384765625
0,0,1,0,0,1,1,1,1,0,0,1,1225.4725341796875
0,1,1,0,1,1,0,0,0,0,1,1,1812.2662353515625
0,0,1,0,0,0,0,0,0,1,0,0,1114.576416015625
1,0,1,0,1,1,1,1,1,1,0,1,3041.90185546875
0,0,0,0,0,0,0,1,0,0,0,1,304.29779052734375
1,0,1,1,1,1,0,1,0,1,1,1,2799.385009765625
0,0,0,1,0,0,1,0,0,1,1,0,1309.2615966796875
0,1,0,0,0,0,1,1,1,1,1,1,1767.2691650390625
0,1,1,0,0,0,1,0,0,1,0,0,1133.227294921875
1,1,1,1,1,0,0,1,0,1,1,1,2799.89892578125
0,1,1,0,0,0,0,0,0,0,0,0,390.54486083984375
0,0,0,1,0,1,1,0,0,0,0,1,409.16253662109375
1,0,1,1,0,0,0,1,0,1,0,1,2772.821533203125
1,0,0,1,1,1,1,1,0,1,0,0,2759.0625
0,1,0,1,0,1,0,1,0,0,0,0,411.04913330078125
0,0,0,0,0,0,1,1,0,0,0,0,332.5218200683594
1,0,1,1,1,0,0,1,0,0,1,0,2762.57080078125
1,0,0,1,1,1,0,1,1,1,0,1,3049.08203125
0,1,0,1,1,1,0,0,1,1,0,0,2136.1748046875
0,1,1,1,1,1,1,1,0,1,1,1,2071.32373046875
0,1,0,0,1,0,1,1,0,0,1,0,1746.4049072265625
0,0,0,1,1,1,1,1,0,1,1,1,2018.2259521484375
1,1,1,0,0,1,1,1,1,1,1,1,2957.67431640625
0,1,0,0,1,1,0,1,0,1,0,1,1951.5843505859375
0,1,1,1,1,1,1,0,1,1,0,1,2168.63720703125
1,0,0,1,1,0,0,1,0,1,1,1,2770.26123046875
1,0,1,0,1,1,0,0,1,1,0,0,3018.731689453125
0,0,1,1,1,0,1,0,0,0,1,0,1738.276611328125
0,0,0,0,0,0,1,0,0,0,0,0,251.11325073242188
0,0,0,1,1,0,1,1,1,0,0,1,1741.639892578125
0,1,1,1,1,1,1,0,1,1,0,0,2142.435546875
0,1,1,1,1,0,1,1,1,1,1,1,2128.47412109375
0,0,0,0,1,0,0,0,1,0,1,0,1662.838623046875
0,1,0,1,0,1,1,1,0,1,1,1,1459.977294921875
1,1,1,1,0,1,1,1,1,0,1,1,2852.509033203125
1,1,1,0,0,1,0,0,0,0,0,0,2653.613525390625
1,1,0,0,0,0,0,0,1,1,0,1,2810.47216796875
0,1,1,1,1,1,1,1,1,1,1,1,2132.72216796875
0,1,1,1,1,1,0,1,0,1,0,0,1954.5054931640625
0,0,1,1,0,1,0,1,1,1,1,0,1722.2060546875
1,1,1,1,0,1,0,1,1,1,0,1,2884.89306640625
0,1,1,1,0,1,0,0,0,1,1,1,1479.69091796875
1,1,1,1,1,0,1,1,1,0,1,1,2926.179931640625
0,0,0,0,0,0,0,0,1,0,0,0,1068.090576171875
