/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
0,0,1,1,0,1,1,1,0,1,1,0,100.0103759765625,0.587285578250885
1,0,1,1,0,1,1,0,1,1,1,0,257.0970764160156,2.081299304962158
0,1,0,1,0,1,1,1,1,1,0,1,101.61024475097656,0.7952058911323547
0,0,0,1,1,1,1,0,0,1,0,0,99.04994201660156,0.5147123336791992
1,0,0,0,1,0,1,1,1,1,1,1,263.23162841796875,2.1250698566436768
1,0,0,1,1,0,1,1,1,1,1,1,260.0220031738281,2.1034095287323
1,0,1,1,1,0,0,0,1,1,1,1,260.23211669921875,2.1007866859436035
0,0,1,0,0,0,0,0,1,0,1,0,49.162513732910156,0.23447687923908234
1,1,1,1,1,0,1,1,0,0,0,1,258.4508056640625,2.1301708221435547
0,0,0,1,0,0,0,0,0,0,1,1,89.16761779785156,0.4919871389865875
1,0,0,0,1,1,1,1,1,1,1,1,263.23162841796875,2.1250698566436768
0,0,1,0,1,0,1,1,0,1,1,0,87.34336853027344,0.5420572757720947
1,0,0,0,0,0,1,1,1,0,0,1,261.72882080078125,2.101072072982788
0,0,0,0,0,0,0,0,1,1,0,1,80.70668029785156,0.44781407713890076
1,1,0,0,0,0,0,0,1,1,1,0,260.156005859375,2.1278200149536133
0,1,1,1,0,0,1,1,0,1,1,0,115.83565521240234,0.7626001834869385
0,0,1,0,1,0,1,0,0,0,1,0,49.232391357421875,0.44752320647239685
0,0,1,1,1,0,1,1,1,1,1,0,100.0103759765625,0.6184448003768921
0,0,0,1,0,1,1,0,0,1,0,1,97.5678482055664,0.5988764762878418
1,0,1,0,0,0,0,0,1,0,1,1,261.1640930175781,2.113285779953003
0,1,1,1,1,1,1,1,1,1,0,1,101.61167907714844,0.7952058911323547
0,1,0,1,0,0,0,1,0,1,0,1,101.61024475097656,0.6644483208656311
0,1,0,0,0,1,0,0,1,0,0,0,42.17348098754883,0.4938074052333832
1,0,0,1,1,0,1,0,0,1,0,0,255.99853515625,2.055664539337158
1,0,1,0,0,1,0,1,0,1,1,1,262.153564453125,2.10329270362854
0,0,1,1,1,1,1,1,1,0,1,0,87.86072540283203,0.5959166288375854
0,0,0,1,0,0,1,0,1,0,0,1,75.2552261352539,0.5960091352462769
