/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,0,0,1,1,0,0,1,1,0,1,1,0.0027721324004232883,0.0002556204854045063
0,1,1,1,0,1,0,0,0,0,1,0,0.0004809059319086373,5.2489456720650196e-05
0,0,0,0,0,0,0,1,1,0,0,1,0.00038270774530246854,4.599757812684402e-05
0,0,1,1,0,1,0,0,0,0,0,0,0.0003483535838313401,2.3265065465238877e-05
1,0,1,1,0,0,0,1,1,1,0,0,0.0025598169304430485,0.0002500289701856673
0,1,1,1,1,1,1,0,0,0,1,1,0.0008008098229765892,7.478483894374222e-05
0,0,1,1,0,1,1,1,0,1,1,0,0.0004829492827411741,6.10389542998746e-05
1,0,1,1,0,1,1,0,1,1,1,0,0.002562723122537136,0.00025074242148548365
0,1,0,1,0,1,1,1,1,1,0,1,0.0006241241353563964,8.487141167279333e-05
0,0,0,1,1,1,1,0,0,1,0,0,0.000718620780389756,5.292681817081757e-05
1,0,0,0,1,0,1,1,1,1,1,1,0.002787483623251319,0.0002568851923570037
1,0,0,1,1,0,1,1,1,1,1,1,0.0027080245781689882,0.00025401433231309056
1,0,1,1,1,0,0,0,1,1,1,1,0.0027113105170428753,0.00025031593395397067
0,0,1,0,0,0,0,0,1,0,1,0,0.00023758297902531922,2.714901347644627e-05
1,1,1,1,1,0,1,1,0,0,0,1,0.0027708392590284348,0.0002553507802076638
0,0,0,1,0,0,0,0,0,0,1,1,0.0005154379759915173,4.0470615203958005e-05
1,0,0,0,1,1,1,1,1,1,1,1,0.002787502482533455,0.0002568851923570037
0,0,1,0,1,0,1,1,0,1,1,0,0.0006944613996893167,5.755910387961194e-05
1,0,0,0,0,0,1,1,1,0,0,1,0.0026442105881869793,0.0002524066367186606
0,0,0,0,0,0,0,0,1,1,0,1,0.000488985504489392,4.4288663048064336e-05
1,1,0,0,0,0,0,0,1,1,1,0,0.002641397761180997,0.00025069486582651734
0,1,1,1,0,0,1,1,0,1,1,0,0.0005551483482122421,7.560960511909798e-05
0,0,1,0,1,0,1,0,0,0,1,0,0.000599409977439791,4.487069963943213e-05
0,0,1,1,1,0,1,1,1,1,1,0,0.0007580391829833388,6.477066926890984e-05
0,0,0,1,0,1,1,0,0,1,0,1,0.0005677198641933501,6.18004851276055e-05
1,0,1,0,0,0,0,0,1,0,1,1,0.0026329271495342255,0.00024941080482676625
0,1,1,1,1,1,1,1,1,1,0,1,0.000848955474793911,8.487141167279333e-05
0,1,0,1,0,0,0,1,0,1,0,1,0.0006240776856429875,7.005838415352628e-05
0,1,0,0,0,1,0,0,1,0,0,0,0.0002982191217597574,5.010086897527799e-05
1,0,0,1,1,0,1,0,0,1,0,0,0.002641552360728383,0.0002492424682714045
1,0,1,0,0,1,0,1,0,1,1,1,0.002710217610001564,0.00025184761034324765
0,0,1,1,1,1,1,1,1,0,1,0,0.0006971995462663472,6.117587327025831e-05
0,0,0,1,0,0,1,0,1,0,0,1,0.0004687451873905957,6.107814988354221e-05
0,0,1,0,1,1,1,1,0,0,1,0,0.0005994716775603592,5.242832048679702e-05
0,0,0,1,1,0,0,0,0,1,1,1,0.0008069301838986576,4.7015753807500005e-05
0,0,0,0,1,1,0,1,0,1,0,1,0.0007159116212278605,4.6901208406779915e-05
1,0,0,0,0,0,1,0,0,0,1,0,0.0025464578066021204,0.0002478581736795604
1,0,0,0,1,0,0,0,1,1,1,0,0.0026980505790561438,0.000249752018135041
0,1,1,0,0,1,0,1,1,0,1,0,0.0003790292248595506,5.851407695445232e-05
1,0,1,0,0,0,1,0,0,0,0,1,0.0026444580871611834,0.00024979293812066317
1,1,1,0,1,0,1,0,0,0,0,1,0.002758778166025877,0.0002511743805371225
0,0,1,0,1,0,0,1,0,1,1,1,0.0007821514154784381,5.0817179726436734e-05
1,0,0,0,1,1,1,0,1,0,1,0,0.0026297802105545998,0.0002487626043148339
0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.1814670617459342e-05
1,1,1,1,1,1,1,0,0,1,0,0,0.0026747738011181355,0.00025041765184141695
0,0,0,1,1,1,0,1,1,0,1,1,0.0007469096453860402,5.385622353060171e-05
0,1,1,0,1,1,0,0,0,0,1,1,0.0007319412543438375,5.592653906205669e-05
0,0,1,0,1,0,0,1,0,0,1,0,0.000599409977439791,3.182788714184426e-05
0,0,0,0,1,1,1,0,0,0,0,1,0.0006397479446604848,5.1194114348618314e-05
1,0,0,1,0,1,1,1,1,1,1,0,0.0025601608213037252,0.0002524202282074839
0,0,1,0,0,1,1,0,1,1,1,0,0.0004043639055453241,5.563641752814874e-05
0,0,1,0,0,0,1,1,1,0,1,0,0.00023758297902531922,5.665508797392249e-05
1,1,0,0,1,0,1,1,0,1,0,0,0.002707479055970907,0.0002529282355681062
0,0,0,0,0,1,1,0,0,1,0,1,0.0004890551790595055,5.6322616728721187e-05
1,0,1,0,1,1,0,0,0,0,0,1,0.0027195229195058346,0.00024562227190472186
1,0,0,0,0,0,1,1,1,0,0,0,0.0025433003902435303,0.0002493477950338274
1,0,1,1,1,1,1,1,1,1,1,0,0.002647420857101679,0.0002524202282074839
1,0,0,0,1,0,0,0,1,1,0,0,0.002666126936674118,0.0002487408055458218
0,0,1,0,1,1,0,1,0,0,0,1,0.0006569814868271351,4.036893369629979e-05
0,1,1,1,1,0,1,1,1,0,1,0,0.0007547543500550091,7.611255568917841e-05
0,1,0,0,0,0,0,0,1,0,1,1,0.0005019520758651197,6.119602039689198e-05
1,1,0,0,1,0,0,0,1,1,0,1,0.002792910672724247,0.00025433124392293394
0,0,1,0,0,1,1,1,1,1,1,0,0.0004043639055453241,6.154015864012763e-05
1,1,0,0,0,1,1,0,1,0,1,0,0.002575949300080538,0.00024952454259619117
0,1,1,0,0,1,0,1,1,1,0,0,0.00043823514715768397,6.175322050694376e-05
0,0,0,1,1,1,0,1,0,0,0,0,0.0006543602212332189,3.613547596614808e-05
0,1,1,1,0,0,1,0,0,1,0,1,0.0006478377617895603,7.74208820075728e-05
0,0,1,1,0,0,1,0,0,0,0,0,0.00034824389149434865,4.811743201571517e-05
0,1,1,0,1,1,0,0,1,1,0,1,0.000779809313826263,6.46018743282184e-05
1,0,1,0,0,1,0,1,1,0,0,0,0.002544966759160161,0.00024719411158002913
1,0,0,0,0,0,1,1,0,0,1,1,0.0026313962880522013,0.0002523279399611056
0,0,1,1,0,1,1,1,0,1,0,0,0.0004619274695869535,5.938132380833849e-05
0,0,1,0,0,1,1,0,1,1,1,1,0.0005731268902309239,6.385523738572374e-05
0,0,1,1,0,0,1,1,0,0,0,0,0.00034824389149434865,5.513276482815854e-05
1,1,1,1,1,1,1,1,1,0,0,0,0.0027159664314240217,0.0002543850860092789
1,0,0,0,1,1,0,0,0,1,0,1,0.002754896180704236,0.0002496296656318009
0,0,0,0,0,0,1,1,0,0,1,0,0.00019881900516338646,5.242832048679702e-05
0,1,1,0,0,0,1,0,0,0,0,0,0.0003364176372997463,6.102023689891212e-05
1,0,0,0,1,0,1,0,0,0,1,0,0.0026297594886273146,0.0002478581736795604
0,1,0,1,1,1,0,1,1,1,1,0,0.0007933861343190074,6.718577060382813e-05
1,0,1,1,1,0,1,0,0,1,1,0,0.00264739990234375,0.0002497450914233923
0,0,1,1,0,1,1,0,1,1,1,0,0.0004829492827411741,5.917307498748414e-05
0,0,1,1,1,1,1,1,1,0,1,1,0.0007593405316583812,6.831668724771589e-05
1,0,1,1,1,0,0,1,0,1,0,1,0.0026988061144948006,0.00024919945280998945
1,1,0,1,0,1,1,0,0,1,0,1,0.0026541620027273893,0.0002527845208533108
0,0,1,0,0,0,1,0,0,0,1,0,0.00023758297902531922,4.487069963943213e-05
0,0,1,1,1,1,1,1,0,1,1,1,0.0008223287877626717,6.839331763330847e-05
1,1,1,1,0,1,1,0,1,1,1,1,0.002665877342224121,0.00025352617376483977
1,0,0,0,1,0,0,0,0,0,1,0,0.0026297594886273146,0.00024341975222341716
1,1,0,1,1,1,1,1,0,0,0,0,0.0027144993655383587,0.0002534252416808158
0,1,1,0,0,0,1,1,0,0,0,0,0.0003364176372997463,6.630302232224494e-05
1,1,1,1,0,0,0,0,0,1,0,1,0.002655120799317956,0.00024871627101674676
