/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,232447.296875,111506.875
1,0,0,0,0,1,1,0,1,1,0,1,207973.09375,107080.203125
0,1,0,0,1,0,1,1,0,0,0,1,79401.140625,36404.1796875
1,1,0,0,0,1,0,1,0,1,0,1,212244.953125,107179.859375
0,0,1,0,1,1,1,0,1,1,0,0,74058.5703125,26348.177734375
0,1,0,1,1,0,0,0,0,1,1,0,89477.4765625,28461.98828125
0,0,1,0,0,0,0,1,1,1,1,0,34470.51953125,23814.7265625
0,1,1,1,0,0,0,0,1,0,0,0,44636.97265625,28046.927734375
0,1,1,1,0,1,1,1,0,1,1,1,63743.5703125,41066.09375
0,0,1,1,1,0,0,0,0,0,0,0,74980.53125,11261.630859375
1,0,0,0,0,1,1,0,0,0,0,1,203700.109375,103764.53125
1,1,1,0,0,1,1,0,1,1,0,1,212401.953125,110418.1875
0,1,1,0,0,1,1,1,0,1,0,1,55309.83203125,38465.99609375
1,0,0,0,1,0,1,0,0,0,0,1,223795.703125,103764.53125
0,0,1,0,1,0,1,1,1,0,0,1,72534.515625,31504.197265625
0,1,1,1,1,0,0,0,1,1,0,1,93759.6640625,34538.73046875
0,1,1,1,1,1,0,1,1,0,1,0,86500.734375,32258.37109375
1,1,0,1,1,1,0,0,0,0,1,0,231229.25,103417.734375
1,0,0,1,0,1,1,1,1,0,0,1,205682.46875,108071.421875
0,1,0,1,0,1,0,0,0,1,0,0,51134.9921875,27837.65625
0,1,0,0,1,0,1,0,0,1,1,1,89300.828125,37011.26953125
1,1,1,0,0,1,1,0,1,1,1,1,213534.375,110505.2109375
1,1,1,1,0,0,0,0,1,0,0,1,210244.96875,106422.5
0,0,0,0,1,0,1,0,1,0,0,0,55774.3359375,23584.736328125
0,0,1,1,1,1,1,0,1,0,1,0,79253.859375,27820.837890625
1,0,1,1,0,0,0,1,0,0,0,1,205360.6875,103058.8359375
0,0,1,1,0,0,1,1,1,0,0,1,42824.26953125,33804.29296875
1,1,0,1,0,1,1,1,0,0,1,1,212395.15625,110628.0234375
0,1,0,0,0,0,0,0,0,0,0,0,32467.953125,21793.232421875
1,1,0,0,1,0,1,0,1,0,1,0,225491.28125,106743.453125
