/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
0,1,0,1,0,1,1,1,1,1,0,1,608.146484375,69.52665710449219
0,0,0,1,1,1,1,0,0,1,0,0,700.22412109375,43.357643127441406
1,0,0,0,1,0,1,1,1,1,1,1,2716.12451171875,210.44033813476562
1,0,0,1,1,0,1,1,1,1,1,1,2638.69921875,208.0885467529297
1,0,1,1,1,0,0,0,1,1,1,1,2641.90087890625,205.0587921142578
0,0,1,0,0,0,0,0,1,0,1,0,231.5008544921875,22.240468978881836
1,1,1,1,1,0,1,1,0,0,0,1,2699.906005859375,209.18338012695312
0,0,0,1,0,0,0,0,0,0,1,1,502.24267578125,33.153526306152344
1,0,0,0,1,1,1,1,1,1,1,1,2716.142333984375,210.44033813476562
0,0,1,0,1,0,1,1,0,1,1,0,676.6831665039062,47.15241622924805
1,0,0,0,0,0,1,1,1,0,0,1,2576.51904296875,206.771484375
0,0,0,0,0,0,0,0,1,1,0,1,476.46746826171875,36.281272888183594
1,1,0,0,0,0,0,0,1,1,1,0,2573.77783203125,205.36923217773438
0,1,1,1,0,0,1,1,0,1,1,0,540.9366455078125,61.93938446044922
0,0,1,0,1,0,1,0,0,0,1,0,584.0650634765625,36.758079528808594
0,0,1,1,1,0,1,1,1,1,1,0,738.6334228515625,53.06013107299805
0,0,0,1,0,1,1,0,0,1,0,1,553.186279296875,50.62696075439453
1,0,1,0,0,0,0,0,1,0,1,1,2565.524169921875,204.3173065185547
0,1,1,1,1,1,1,1,1,1,0,1,827.2222900390625,69.52665710449219
0,1,0,1,0,0,0,1,0,1,0,1,608.1014404296875,57.3918342590332
0,1,0,0,0,1,0,0,1,0,0,0,290.584716796875,41.042633056640625
1,0,0,1,1,0,1,0,0,1,0,0,2573.9287109375,204.17941284179688
1,0,1,0,0,1,0,1,0,1,1,1,2640.8359375,206.3135223388672
0,0,1,1,1,1,1,1,1,0,1,0,679.3512573242188,50.11528015136719
