output_name,poly__degree,score
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
map50,2,0.8695865900458877
map50_95,2,0.8498853249257701
map75,2,0.8360099277217025
map50,2,0.8773176136695214
map50_95,3,0.8576754563021046
map75,3,0.842541887050875
map50,2,0.8773176136695214
map50_95,3,0.8576754563021046
map75,3,0.842541887050875
map50,2,0.8773176136695214
map50_95,3,0.8576754563021046
map75,3,0.842541887050875
map50,2,0.8773176136695214
map50_95,3,0.8576754563021046
map75,3,0.842541887050875
map50,2,0.8773176136695214
map50_95,3,0.8576754563021046
map75,3,0.842541887050875
map50,3,0.8838128985472954
map50_95,3,0.8643593624658065
map75,3,0.8518233462658085
