/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,0.174659863114357,0.10810389369726181
1,0,0,0,0,1,1,0,1,1,0,1,0.16520097851753235,0.10002955049276352
0,1,0,0,1,0,1,1,0,0,0,1,0.05257589370012283,0.055772192776203156
1,1,0,0,0,1,0,1,0,1,0,1,0.1727517545223236,0.10183797776699066
0,0,1,0,1,1,1,0,1,1,0,0,0.0780177116394043,0.05128150060772896
0,1,0,1,1,0,0,0,0,1,1,0,0.09457626938819885,0.05024613067507744
0,0,1,0,0,0,0,1,1,1,1,0,0.08149849623441696,0.04909667372703552
0,1,1,1,0,0,0,0,1,0,0,0,0.056202393025159836,0.033493079245090485
0,1,1,1,0,1,1,1,0,1,1,1,0.1002214178442955,0.07078558206558228
0,0,1,1,1,0,0,0,0,0,0,0,0.03891591727733612,0.0
1,0,0,0,0,1,1,0,0,0,0,1,0.1491677463054657,0.09503515064716339
1,1,1,0,0,1,1,0,1,1,0,1,0.17853371798992157,0.10720022767782211
0,1,1,0,0,1,1,1,0,1,0,1,0.08896179497241974,0.06693331152200699
1,0,0,0,1,0,1,0,0,0,0,1,0.15060105919837952,0.09503515064716339
0,0,1,0,1,0,1,1,1,0,0,1,0.039453256875276566,0.04484780505299568
0,1,1,1,1,0,0,0,1,1,0,1,0.09474505484104156,0.04856892675161362
0,1,1,1,1,1,0,1,1,0,1,0,0.0708712562918663,0.046313993632793427
1,1,0,1,1,1,0,0,0,0,1,0,0.1633703112602234,0.09420516341924667
1,0,0,1,0,1,1,1,1,0,0,1,0.15267516672611237,0.10044602304697037
0,1,0,1,0,1,0,0,0,1,0,0,0.08456431329250336,0.046223632991313934
0,1,0,0,1,0,1,0,0,1,1,1,0.09247369319200516,0.06484995037317276
1,1,1,0,0,1,1,0,1,1,1,1,0.16984115540981293,0.10410407930612564
1,1,1,1,0,0,0,0,1,0,0,1,0.16546976566314697,0.09429986774921417
0,0,0,0,1,0,1,0,1,0,0,0,0.009641021490097046,0.035365767776966095
0,0,1,1,1,1,1,0,1,0,1,0,0.056395940482616425,0.04155128449201584
1,0,1,1,0,0,0,1,0,0,0,1,0.15922832489013672,0.09069667756557465
0,0,1,1,0,0,1,1,1,0,0,1,0.038027770817279816,0.04484780505299568
1,1,0,1,0,1,1,1,0,0,1,1,0.1607295721769333,0.10783630609512329
0,1,0,0,0,0,0,0,0,0,0,0,0.04399458318948746,0.030459124594926834
1,1,0,0,1,0,1,0,1,0,1,0,0.16015855967998505,0.10458127409219742
0,1,0,1,0,0,1,1,0,0,0,0,0.047556303441524506,0.054902128875255585
0,0,0,1,0,1,0,1,0,0,1,1,0.04316142946481705,0.03219687193632126
0,1,1,0,1,0,0,0,1,0,1,0,0.06693314760923386,0.03834221512079239
0,1,0,1,1,1,0,1,1,1,0,0,0.0885254517197609,0.055698223412036896
0,1,1,0,1,1,0,1,1,1,0,1,0.09274423867464066,0.05559851974248886
1,0,0,1,1,1,0,0,0,1,1,1,0.16229209303855896,0.08760301023721695
