/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,1,1,0,1,1,1,0,1,1,0,158.3970947265625,0.8290894627571106
1,0,1,1,0,1,1,0,1,1,1,0,287.0718994140625,1.6410083770751953
0,1,0,1,0,1,1,1,1,1,0,1,128.82554626464844,0.9050015211105347
0,0,0,1,1,1,1,0,0,1,0,0,142.58602905273438,0.685606837272644
1,0,0,0,1,0,1,1,1,1,1,1,285.3447265625,1.7117846012115479
1,0,0,1,1,0,1,1,1,1,1,1,285.3447265625,1.7117846012115479
1,0,1,1,1,0,0,0,1,1,1,1,285.3447265625,1.6501495838165283
0,0,1,0,0,0,0,0,1,0,1,0,99.35421752929688,0.43421220779418945
1,1,1,1,1,0,1,1,0,0,0,1,288.77703857421875,1.6931264400482178
0,0,0,1,0,0,0,0,0,0,1,1,96.38780212402344,0.45914873480796814
1,0,0,0,1,1,1,1,1,1,1,1,285.3447265625,1.7117846012115479
0,0,1,0,1,0,1,1,0,1,1,0,158.3970947265625,0.8290894627571106
1,0,0,0,0,0,1,1,1,0,0,1,286.48223876953125,1.6408214569091797
0,0,0,0,0,0,0,0,1,1,0,1,126.9654312133789,0.626064121723175
1,1,0,0,0,0,0,0,1,1,1,0,286.44586181640625,1.65777587890625
0,1,1,1,0,0,1,1,0,1,1,0,159.40904235839844,0.9756782650947571
0,0,1,0,1,0,1,0,0,0,1,0,99.35421752929688,0.5193411707878113
0,0,1,1,1,0,1,1,1,1,1,0,158.3970947265625,0.8407536745071411
0,0,0,1,0,1,1,0,0,1,0,1,126.9654312133789,0.6636388897895813
1,0,1,0,0,0,0,0,1,0,1,1,282.84027099609375,1.6136248111724854
0,1,1,1,1,1,1,1,1,1,0,1,129.07785034179688,0.9050015211105347
0,1,0,1,0,0,0,1,0,1,0,1,128.82554626464844,0.8068225979804993
0,1,0,0,0,1,0,0,1,0,0,0,40.88166427612305,0.5320965647697449
1,0,0,1,1,0,1,0,0,1,0,0,291.98736572265625,1.6064050197601318
1,0,1,0,0,1,0,1,0,1,1,1,285.3498840332031,1.6449947357177734
0,0,1,1,1,1,1,1,1,0,1,0,99.35421752929688,0.6640763878822327
0,0,0,1,0,0,1,0,1,0,0,1,52.8997917175293,0.5125007033348083
0,0,1,0,1,1,1,1,0,0,1,0,99.35421752929688,0.643641471862793
0,0,0,1,1,0,0,0,0,1,1,1,154.29983520507812,0.7088037729263306
