/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,170188.5625,88558.7109375
1,0,0,0,0,1,1,0,1,1,0,1,160971.84375,81944.21875
0,1,0,0,1,0,1,1,0,0,0,1,51229.94921875,45688.578125
1,1,0,0,0,1,0,1,0,1,0,1,168329.296875,83425.671875
0,0,1,0,1,1,1,0,1,1,0,0,76020.453125,42009.8046875
0,1,0,1,1,0,0,0,0,1,1,0,92155.125,41161.6328125
0,0,1,0,0,0,0,1,1,1,1,0,79412.1484375,40219.9921875
0,1,1,1,0,0,0,0,1,0,0,0,54763.61328125,27437.53125
0,1,1,1,0,1,1,1,0,1,1,1,97655.734375,57987.55078125
0,0,1,1,1,0,0,0,0,0,0,0,37919.66796875,0.0
1,0,0,0,0,1,1,0,0,0,0,1,145349.03125,77852.7890625
1,1,1,0,0,1,1,0,1,1,0,1,173963.25,87818.421875
0,1,1,0,0,1,1,1,0,1,0,1,86684.3828125,54831.76953125
1,0,0,0,1,0,1,0,0,0,0,1,146745.671875,77852.7890625
0,0,1,0,1,0,1,1,1,0,0,1,38443.25390625,36739.3203125
0,1,1,1,1,0,0,0,1,1,0,1,92319.59375,39787.6640625
0,1,1,1,1,1,0,1,1,0,1,0,69056.953125,37940.42578125
1,1,0,1,1,1,0,0,0,0,1,0,159188.03125,77172.859375
1,0,0,1,0,1,1,1,1,0,0,1,148766.703125,82285.3671875
0,1,0,1,0,1,0,0,0,1,0,0,82399.453125,37866.40234375
0,1,0,0,1,0,1,0,0,1,1,1,90106.375,53125.08203125
1,1,1,0,0,1,1,0,1,1,1,1,165493.21875,85282.046875
1,1,1,1,0,0,0,0,1,0,0,1,161233.75,77250.4375
0,0,0,0,1,0,1,0,1,0,0,0,9394.2109375,28971.634765625
0,0,1,1,1,1,1,0,1,0,1,0,54952.19921875,34038.8046875
1,0,1,1,0,0,0,1,0,0,0,1,155152.078125,74298.7265625
0,0,1,1,0,0,1,1,1,0,0,1,37054.2578125,36739.3203125
1,1,0,1,0,1,1,1,0,0,1,1,156614.90625,88339.4921875
0,1,0,0,0,0,0,0,0,0,0,0,42868.3203125,24952.115234375
1,1,0,0,1,0,1,0,1,0,1,0,156058.515625,85672.984375
0,1,0,1,0,0,1,1,0,0,0,0,46338.8671875,44975.828125
0,0,0,1,0,1,0,1,0,0,1,1,42056.4921875,26375.67578125
0,1,1,0,1,0,0,0,1,0,1,0,65219.6640625,31409.94921875
0,1,0,1,1,1,0,1,1,1,0,0,86259.203125,45627.9765625
0,1,1,0,1,1,0,1,1,1,0,1,90369.984375,45546.30859375
1,0,0,1,1,1,0,0,0,1,1,1,158137.40625,71764.3828125
1,1,1,0,1,1,0,0,0,0,0,0,160714.78125,75944.625
0,1,0,1,1,1,1,0,1,1,1,1,93853.0390625,54133.75
0,0,0,1,1,1,1,1,0,0,1,1,46383.859375,39235.44921875
0,1,0,1,1,0,1,1,1,1,1,0,92155.125,58390.40625
0,0,0,0,1,1,1,0,1,0,1,1,39984.96875,34466.078125
