/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,0,1,1,0,1,1,0,1,1,1,0,1933.573486328125,144.77456665039062
0,1,0,1,0,1,1,1,1,1,0,1,840.9439697265625,93.20661926269531
0,0,0,1,1,1,1,0,0,1,0,0,800.3912353515625,69.72065734863281
1,0,0,0,1,0,1,1,1,1,1,1,1898.3675537109375,148.642822265625
1,0,0,1,1,0,1,1,1,1,1,1,1912.686279296875,148.642822265625
1,0,1,1,1,0,0,0,1,1,1,1,1936.2523193359375,136.94161987304688
0,0,1,0,0,0,0,0,1,0,1,0,468.2980041503906,32.798622131347656
1,1,1,1,1,0,1,1,0,0,0,1,1929.6295166015625,157.9303436279297
0,0,0,1,0,0,0,0,0,0,1,1,459.93377685546875,28.690881729125977
1,0,0,0,1,1,1,1,1,1,1,1,1898.3675537109375,148.642822265625
0,0,1,0,1,0,1,1,0,1,1,0,905.9697265625,83.50480651855469
1,0,0,0,0,0,1,1,1,0,0,1,1853.5357666015625,151.3603973388672
0,0,0,0,0,0,0,0,1,1,0,1,721.2938232421875,54.27998733520508
1,1,0,0,0,0,0,0,1,1,1,0,1913.488525390625,143.43756103515625
0,1,1,1,0,0,1,1,0,1,1,0,983.3761596679688,96.66031646728516
0,0,1,0,1,0,1,0,0,0,1,0,510.4039611816406,53.89080810546875
0,0,1,1,1,0,1,1,1,1,1,0,927.1432495117188,85.05082702636719
0,0,0,1,0,1,1,0,0,1,0,1,741.4827880859375,69.21383666992188
1,0,1,0,0,0,0,0,1,0,1,1,1872.024169921875,140.89666748046875
0,1,1,1,1,1,1,1,1,1,0,1,910.8919677734375,93.20661926269531
0,1,0,1,0,0,0,1,0,1,0,1,840.91162109375,75.03063201904297
0,1,0,0,0,1,0,0,1,0,0,0,371.962158203125,46.17733383178711
1,0,0,1,1,0,1,0,0,1,0,0,1993.16796875,151.1480712890625
1,0,1,0,0,1,0,1,0,1,1,1,1911.2001953125,139.56491088867188
0,0,1,1,1,1,1,1,1,0,1,0,533.498291015625,66.14805603027344
0,0,0,1,0,0,1,0,1,0,0,1,244.01675415039062,50.21646499633789
0,0,1,0,1,1,1,1,0,0,1,0,510.461669921875,64.21266174316406
0,0,0,1,1,0,0,0,0,1,1,1,899.0960083007812,59.372886657714844
0,0,0,0,1,1,0,1,0,1,0,1,749.8908081054688,60.918922424316406
1,0,0,0,0,0,1,0,0,0,1,0,1881.0472412109375,147.6399383544922
1,0,0,0,1,0,0,0,1,1,1,0,1902.8994140625,137.231201171875
0,1,1,0,0,1,0,1,1,0,1,0,577.7293701171875,63.24769973754883
1,0,1,0,0,0,1,0,0,0,0,1,1873.5810546875,146.0977325439453
1,1,1,0,1,0,1,0,0,0,0,1,1916.502197265625,153.5965576171875
0,0,1,0,1,0,0,1,0,1,1,1,915.4105224609375,68.42622375488281
1,0,0,0,1,1,1,0,1,0,1,0,1888.8177490234375,148.75027465820312
0,0,0,0,0,0,0,0,1,0,0,0,0.0,19.070722579956055
1,1,1,1,1,1,1,0,0,1,0,0,2041.9107666015625,158.5602264404297
0,0,0,1,1,1,0,1,1,0,1,1,500.95330810546875,47.40298080444336
0,1,1,0,1,1,0,0,0,0,1,1,629.65966796875,51.1072998046875
0,0,1,0,1,0,0,1,0,0,1,0,510.4039611816406,42.69153594970703
0,0,0,0,1,1,1,0,0,0,0,1,274.70294189453125,47.03230667114258
1,0,0,1,0,1,1,1,1,1,1,0,1909.569091796875,148.90472412109375
0,0,1,0,0,1,1,0,1,1,1,0,884.4094848632812,77.56715393066406
0,0,1,0,0,0,1,1,1,0,1,0,468.2980041503906,66.14805603027344
1,1,0,0,1,0,1,1,0,1,0,0,2005.639892578125,162.74337768554688
