/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,0.34094342589378357
1,0,0,0,0,1,1,0,1,1,0,1,0.3086838126182556
0,1,0,0,1,0,1,1,0,0,0,1,0.17654767632484436
1,1,0,0,0,1,0,1,0,1,0,1,0.30540409684181213
0,0,1,0,1,1,1,0,1,1,0,0,0.2130444496870041
0,1,0,1,1,0,0,0,0,1,1,0,0.2022816389799118
0,0,1,0,0,0,0,1,1,1,1,0,0.18192462623119354
0,1,1,1,0,0,0,0,1,0,0,0,0.12973502278327942
0,1,1,1,0,1,1,1,0,1,1,1,0.1635495275259018
0,0,1,1,1,0,0,0,0,0,0,0,0.17451027035713196
1,0,0,0,0,1,1,0,0,0,0,1,0.2784901261329651
1,1,1,0,0,1,1,0,1,1,0,1,0.3160938024520874
0,1,1,0,0,1,1,1,0,1,0,1,0.14352115988731384
1,0,0,0,1,0,1,0,0,0,0,1,0.2775479853153229
0,0,1,0,1,0,1,1,1,0,0,1,0.17932653427124023
0,1,1,1,1,0,0,0,1,1,0,1,0.2202823907136917
0,1,1,1,1,1,0,1,1,0,1,0,0.18621285259723663
1,1,0,1,1,1,0,0,0,0,1,0,0.2946331202983856
1,0,0,1,0,1,1,1,1,0,0,1,0.30248647928237915
0,1,0,1,0,1,0,0,0,1,0,0,0.12322912365198135
0,1,0,0,1,0,1,0,0,1,1,1,0.20169897377490997
1,1,1,0,0,1,1,0,1,1,1,1,0.3265274167060852
1,1,1,1,0,0,0,0,1,0,0,1,0.3069000840187073
0,0,0,0,1,0,1,0,1,0,0,0,0.16710004210472107
0,0,1,1,1,1,1,0,1,0,1,0,0.17878547310829163
1,0,1,1,0,0,0,1,0,0,0,1,0.28603243827819824
0,0,1,1,0,0,1,1,1,0,0,1,0.1327424943447113
1,1,0,1,0,1,1,1,0,0,1,1,0.2942160964012146
0,1,0,0,0,0,0,0,0,0,0,0,0.03684248402714729
1,1,0,0,1,0,1,0,1,0,1,0,0.30572330951690674
0,1,0,1,0,0,1,1,0,0,0,0,0.061386000365018845
0,0,0,1,0,1,0,1,0,0,1,1,0.08370233327150345
0,1,1,0,1,0,0,0,1,0,1,0,0.17782345414161682
0,1,0,1,1,1,0,1,1,1,0,0,0.2189497947692871
0,1,1,0,1,1,0,1,1,1,0,1,0.2276117354631424
1,0,0,1,1,1,0,0,0,1,1,1,0.3033519983291626
1,1,1,0,1,1,0,0,0,0,0,0,0.2923427224159241
0,1,0,1,1,1,1,0,1,1,1,1,0.20804175734519958
0,0,0,1,1,1,1,1,0,0,1,1,0.1849435567855835
0,1,0,1,1,0,1,1,1,1,1,0,0.20681068301200867
0,0,0,0,1,1,1,0,1,0,1,1,0.17452886700630188
1,1,1,1,1,0,1,0,0,0,1,1,0.29054468870162964
0,1,0,1,1,0,1,1,0,0,0,1,0.17715463042259216
0,1,1,1,0,0,0,0,0,0,0,1,0.06056959182024002
0,0,0,0,1,0,0,0,0,0,0,0,0.16341635584831238
1,1,1,0,1,0,1,1,0,0,1,0,0.2936522364616394
