/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,1,1,1,1,1,1,1,1,1,1,3121.520263671875
1,0,0,0,0,1,1,0,1,1,0,1,2759.79931640625
0,1,0,0,1,0,1,1,0,0,0,1,1713.146728515625
1,1,0,0,0,1,0,1,0,1,0,1,2759.2294921875
0,0,1,0,1,1,1,0,1,1,0,0,2106.68115234375
0,1,0,1,1,0,0,0,0,1,1,0,1982.5621337890625
0,0,1,0,0,0,0,1,1,1,1,0,1701.799072265625
0,1,1,1,0,0,0,0,1,0,0,0,1170.007568359375
0,1,1,1,0,1,1,1,0,1,1,1,1464.2139892578125
0,0,1,1,1,0,0,0,0,0,0,0,1729.5885009765625
1,0,0,0,0,1,1,0,0,0,0,1,2595.169189453125
1,1,1,0,0,1,1,0,1,1,0,1,2799.24560546875
0,1,1,0,0,1,1,1,0,1,0,1,1254.948974609375
1,0,0,0,1,0,1,0,0,0,0,1,2630.397705078125
0,0,1,0,1,0,1,1,1,0,0,1,1762.2493896484375
0,1,1,1,1,0,0,0,1,1,0,1,2171.79931640625
0,1,1,1,1,1,0,1,1,0,1,0,1769.4853515625
1,1,0,1,1,1,0,0,0,0,1,0,2740.006591796875
1,0,0,1,0,1,1,1,1,0,0,1,2740.319091796875
0,1,0,1,0,1,0,0,0,1,0,0,1127.9984130859375
0,1,0,0,1,0,1,0,0,1,1,1,1980.89453125
1,1,1,0,0,1,1,0,1,1,1,1,2905.2626953125
1,1,1,1,0,0,0,0,1,0,0,1,2775.287841796875
0,0,0,0,1,0,1,0,1,0,0,0,1662.1390380859375
0,0,1,1,1,1,1,0,1,0,1,0,1706.1312255859375
1,0,1,1,0,0,0,1,0,0,0,1,2669.482666015625
0,0,1,1,0,0,1,1,1,0,0,1,1185.335205078125
1,1,0,1,0,1,1,1,0,0,1,1,2722.36181640625
0,1,0,0,0,0,0,0,0,0,0,0,280.9970703125
1,1,0,0,1,0,1,0,1,0,1,0,2850.048095703125
0,1,0,1,0,0,1,1,0,0,0,0,421.83551025390625
0,0,0,1,0,1,0,1,0,0,1,1,737.6588745117188
0,1,1,0,1,0,0,0,1,0,1,0,1721.3450927734375
0,1,0,1,1,1,0,1,1,1,0,0,2159.5068359375
0,1,1,0,1,1,0,1,1,1,0,1,2203.11669921875
1,0,0,1,1,1,0,0,0,1,1,1,2754.9921875
1,1,1,0,1,1,0,0,0,0,0,0,2685.33935546875
0,1,0,1,1,1,1,0,1,1,1,1,2039.081298828125
0,0,0,1,1,1,1,1,0,0,1,1,1755.875
0,1,0,1,1,0,1,1,1,1,1,0,2029.318115234375
0,0,0,0,1,1,1,0,1,0,1,1,1691.176025390625
1,1,1,1,1,0,1,0,0,0,1,1,2729.01806640625
0,1,0,1,1,0,1,1,0,0,0,1,1720.207275390625
0,1,1,1,0,0,0,0,0,0,0,1,442.25762939453125
0,0,0,0,1,0,0,0,0,0,0,0,1686.3131103515625
1,1,1,0,1,0,1,1,0,0,1,0,2756.92626953125
1,1,0,0,1,0,0,0,0,0,1,0,2731.000244140625
1,0,0,0,0,1,0,0,1,0,0,0,2718.658203125
0,1,1,0,0,1,0,0,1,1,1,0,1692.7718505859375
1,1,0,1,0,0,1,1,0,1,0,0,2693.22900390625
0,0,1,1,1,0,0,1,0,0,0,1,1764.5474853515625
1,1,1,0,1,1,1,1,1,1,1,1,3119.704345703125
0,0,0,1,1,1,0,0,0,0,0,0,1708.0963134765625
1,0,1,0,0,1,0,0,1,0,0,1,2759.41015625
0,1,1,0,1,1,0,1,0,1,0,0,1948.833740234375
0,1,0,1,0,0,1,0,0,0,1,0,694.17626953125
1,1,1,0,1,0,1,1,1,0,0,1,2968.87158203125
1,0,0,1,0,1,1,0,1,0,0,1,2709.359130859375
1,1,1,1,0,0,1,0,1,0,0,1,2744.14892578125
0,0,1,0,1,1,0,1,1,1,1,1,2095.569580078125
0,0,0,1,1,1,1,1,0,1,1,1,2007.929443359375
1,0,1,0,1,1,0,0,1,0,1,0,2904.906005859375
0,0,1,0,0,1,0,1,1,1,1,1,1767.308837890625
1,0,1,1,0,1,1,1,0,1,1,0,2914.084716796875
0,1,0,1,0,1,0,1,0,0,0,1,452.197998046875
1,1,0,0,1,0,0,1,1,0,1,1,2949.68701171875
0,1,0,0,1,0,0,1,1,1,0,1,2161.266845703125
1,0,0,1,1,0,0,1,1,0,1,1,2938.66650390625
0,1,1,1,0,1,0,0,0,0,1,0,771.3806762695312
0,0,0,0,0,0,0,1,1,0,0,1,1148.3739013671875
0,0,1,1,0,1,0,0,0,0,0,0,349.3641052246094
1,0,1,1,0,0,0,1,1,1,0,0,2825.17822265625
0,1,1,1,1,1,1,0,0,0,1,1,1770.397216796875
0,0,1,1,0,1,1,1,0,1,1,0,1407.2332763671875
1,0,1,1,0,1,1,0,1,1,1,0,2856.485595703125
0,1,0,1,0,1,1,1,1,1,0,1,1603.2523193359375
0,0,0,1,1,1,1,0,0,1,0,0,1854.1494140625
1,0,0,0,1,0,1,1,1,1,1,1,3058.86474609375
1,0,0,1,1,0,1,1,1,1,1,1,3064.01318359375
1,0,1,1,1,0,0,0,1,1,1,1,3105.531005859375
0,0,1,0,0,0,0,0,1,0,1,0,1254.2791748046875
1,1,1,1,1,0,1,1,0,0,0,1,2707.095703125
0,0,0,1,0,0,0,0,0,0,1,1,660.2301635742188
1,0,0,0,1,1,1,1,1,1,1,1,3060.69189453125
0,0,1,0,1,0,1,1,0,1,1,0,1993.3287353515625
1,0,0,0,0,0,1,1,1,0,0,1,2726.68212890625
0,0,0,0,0,0,0,0,1,1,0,1,1554.6138916015625
1,1,0,0,0,0,0,0,1,1,1,0,2872.187255859375
0,1,1,1,0,0,1,1,0,1,1,0,1392.855224609375
0,0,1,0,1,0,1,0,0,0,1,0,1728.974853515625
0,0,1,1,1,0,1,1,1,1,1,0,2039.340087890625
0,0,0,1,0,1,1,0,0,1,0,1,1136.074462890625
1,0,1,0,0,0,0,0,1,0,1,1,2819.723876953125
0,1,1,1,1,1,1,1,1,1,0,1,2182.03857421875
0,1,0,1,0,0,0,1,0,1,0,1,1218.267822265625
0,1,0,0,0,1,0,0,1,0,0,0,1142.457275390625
1,0,0,1,1,0,1,0,0,1,0,0,2719.537353515625
1,0,1,0,0,1,0,1,0,1,1,1,2974.60400390625
0,0,1,1,1,1,1,1,1,0,1,0,1733.7281494140625
0,0,0,1,0,0,1,0,1,0,0,1,1114.0240478515625
0,0,1,0,1,1,1,1,0,0,1,0,1773.158447265625
0,0,0,1,1,0,0,0,0,1,1,1,1990.9320068359375
0,0,0,0,1,1,0,1,0,1,0,1,1920.4515380859375
1,0,0,0,0,0,1,0,0,0,1,0,2627.25244140625
1,0,0,0,1,0,0,0,1,1,1,0,3041.16845703125
0,1,1,0,0,1,0,1,1,0,1,0,1336.2803955078125
1,0,1,0,0,0,1,0,0,0,0,1,2603.54345703125
1,1,1,0,1,0,1,0,0,0,0,1,2673.775390625
0,0,1,0,1,0,0,1,0,1,1,1,2038.6676025390625
1,0,0,0,1,1,1,0,1,0,1,0,2841.871826171875
0,0,0,0,0,0,0,0,1,0,0,0,1072.4412841796875
1,1,1,1,1,1,1,0,0,1,0,0,2760.466064453125
0,0,0,1,1,1,0,1,1,0,1,1,1730.419921875
0,1,1,0,1,1,0,0,0,0,1,1,1792.659912109375
0,0,1,0,1,0,0,1,0,0,1,0,1776.4697265625
0,0,0,0,1,1,1,0,0,0,0,1,1690.551025390625
1,0,0,1,0,1,1,1,1,1,1,0,2856.90478515625
0,0,1,0,0,1,1,0,1,1,1,0,1654.5491943359375
0,0,1,0,0,0,1,1,1,0,1,0,1279.2279052734375
1,1,0,0,1,0,1,1,0,1,0,0,2767.1708984375
0,0,0,0,0,1,1,0,0,1,0,1,1141.875244140625
1,0,1,0,1,1,0,0,0,0,0,1,2693.16064453125
