/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,1,0,1,1,1,0,0,1,1,29.11602210998535
1,1,1,1,1,1,1,1,1,1,0,0,29.14859962463379
0,0,1,0,1,1,1,1,0,0,0,0,38.47716522216797
1,0,1,0,0,1,0,0,0,0,0,0,31.12149429321289
0,0,1,0,0,0,0,0,0,0,0,0,47.32187271118164
0,1,0,0,0,1,0,0,0,0,1,0,42.01930618286133
0,1,1,1,1,1,0,1,1,1,0,1,34.57379150390625
0,0,1,0,0,1,0,0,0,1,0,1,42.746925354003906
0,1,0,1,1,0,1,0,0,0,1,1,39.57366180419922
0,1,0,1,0,1,1,1,1,1,1,0,34.70586395263672
0,1,0,1,0,0,0,0,1,0,1,0,39.53828430175781
0,1,1,1,0,1,0,1,1,1,0,1,34.66314697265625
1,1,0,0,0,0,1,1,0,0,0,0,30.380535125732422
0,1,1,1,1,1,0,1,0,1,1,1,34.57716751098633
1,1,0,1,0,0,1,0,0,0,0,1,30.606592178344727
1,1,1,1,0,1,1,1,1,1,1,1,29.023868560791016
0,0,0,1,0,1,0,0,1,0,1,0,39.5947151184082
1,1,0,1,1,0,0,1,1,0,0,0,29.215702056884766
0,0,0,0,0,0,0,1,1,1,0,0,39.47338104248047
1,1,1,1,0,0,1,1,1,1,1,0,29.03851318359375
1,0,1,1,0,1,0,1,1,0,1,1,29.093990325927734
0,1,1,1,1,1,1,1,1,1,0,1,34.54082489013672
1,1,1,1,1,1,0,1,1,1,1,1,29.015926361083984
0,0,0,0,0,0,0,0,0,0,1,1,44.93592071533203
1,0,0,1,0,1,0,0,1,0,1,0,30.486072540283203
1,1,1,1,1,1,1,0,1,1,1,1,30.121326446533203
1,1,0,0,0,1,1,0,0,0,1,1,30.8702449798584
1,0,1,1,0,1,1,0,0,1,1,0,30.30307388305664
1,0,1,1,1,1,0,0,1,1,0,1,30.338085174560547
0,0,1,1,1,0,1,1,0,1,0,0,35.48540496826172
1,1,1,1,1,1,1,0,1,1,0,0,30.363052368164062
1,1,0,0,0,1,0,1,0,1,0,1,30.152084350585938
1,1,1,0,1,1,1,1,0,1,1,1,29.833721160888672
0,0,0,1,1,1,1,0,0,0,1,1,39.51690673828125
0,0,0,0,0,1,0,0,0,0,0,0,48.389400482177734
1,1,0,1,1,0,1,1,1,1,0,0,29.240894317626953
0,1,0,0,1,0,0,0,0,1,0,1,43.378631591796875
0,0,0,1,0,1,0,1,0,0,0,0,35.66706466674805
1,1,1,1,1,0,1,1,0,1,1,1,29.14070701599121
1,0,0,0,1,0,0,0,0,0,0,1,31.41914939880371
1,1,1,1,1,1,1,1,0,1,1,1,28.966400146484375
0,0,1,0,0,1,0,1,0,0,1,0,38.32627868652344
0,0,0,0,0,0,0,0,0,0,0,1,48.91497039794922
1,0,1,1,1,1,1,1,1,1,0,1,29.117084503173828
0,1,1,0,1,0,1,0,1,1,0,0,41.68401336669922
0,0,0,1,0,0,0,0,1,0,0,0,41.30830764770508
0,0,0,0,0,0,0,1,0,1,0,0,40.53778839111328
1,1,0,0,0,1,0,0,0,0,1,1,30.876638412475586
1,0,1,1,1,1,1,1,1,0,1,1,29.07168960571289
0,1,1,1,0,0,0,0,0,0,1,0,39.729103088378906
1,1,1,1,0,1,1,1,0,1,0,1,29.0871524810791
1,1,1,1,1,1,0,1,0,1,1,0,29.036636352539062
0,1,0,0,0,0,1,0,1,0,0,0,44.38764190673828
0,0,1,1,0,1,1,1,1,0,1,0,34.846900939941406
1,1,0,0,0,0,1,1,0,0,1,0,30.236576080322266
1,0,1,0,1,1,1,0,1,0,1,0,30.968082427978516
1,1,1,1,0,1,1,0,1,1,0,0,30.380657196044922
0,1,0,1,0,1,0,0,0,0,1,0,39.5107536315918
0,0,1,0,1,1,1,1,0,1,1,0,37.942745208740234
0,1,0,0,1,1,0,0,1,0,1,1,40.21216583251953
1,0,1,1,0,1,1,1,0,0,1,1,29.024837493896484
0,0,0,1,0,0,0,1,0,0,0,0,36.255882263183594
0,0,1,1,1,0,0,1,1,0,0,0,35.34503936767578
1,1,1,1,1,1,0,0,1,1,0,0,30.37143325805664
1,1,1,1,1,0,1,1,1,1,0,1,29.141063690185547
1,0,1,1,0,0,1,0,0,0,0,1,30.564224243164062
1,0,0,0,0,0,0,0,0,0,0,0,31.566905975341797
1,1,1,1,0,0,0,1,1,1,1,1,29.029760360717773
0,0,0,1,0,1,0,1,1,1,1,1,34.726646423339844
0,1,0,1,1,1,1,1,0,1,0,1,34.976497650146484
1,0,0,0,0,0,0,0,1,0,0,0,31.28957748413086
0,1,0,1,1,1,0,1,0,0,0,1,35.14883804321289
1,1,1,0,1,1,1,1,1,1,1,1,29.872509002685547
0,0,1,1,0,0,1,0,0,0,0,1,40.629844665527344
1,0,1,1,1,1,1,1,0,0,1,0,29.07198715209961
0,0,0,0,0,1,0,0,0,1,0,0,46.88010025024414
1,1,1,1,1,1,1,1,0,1,0,1,29.07076072692871
1,1,0,0,0,0,0,0,0,1,0,1,31.276025772094727
1,0,1,0,0,0,1,0,0,1,0,1,31.213354110717773
1,1,0,1,1,1,1,0,0,0,0,1,30.387786865234375
0,0,0,0,1,0,0,1,0,0,0,1,39.88398361206055
0,1,0,1,1,1,1,1,1,1,1,1,34.486572265625
0,0,1,0,1,0,0,1,0,0,0,0,39.432701110839844
0,1,0,0,1,0,1,0,0,0,0,1,43.804718017578125
0,1,0,0,0,0,1,0,0,1,1,0,42.822723388671875
1,0,1,1,1,1,1,1,1,1,1,1,29.057165145874023
0,0,1,1,0,0,0,1,0,1,0,0,35.658851623535156
0,0,1,1,0,0,0,0,0,0,1,0,40.50786590576172
1,1,1,1,0,1,0,0,1,1,1,1,30.14541244506836
1,1,0,1,1,1,1,1,1,0,1,1,29.109018325805664
0,0,0,0,1,0,0,0,0,0,0,1,48.16771697998047
0,0,0,0,0,0,0,0,1,0,0,1,46.38603210449219
1,1,0,1,0,0,0,0,0,1,0,1,30.61532211303711
0,0,0,0,0,0,0,0,0,1,0,0,52.41014862060547
1,1,1,0,1,1,0,0,0,0,0,1,30.824283599853516
1,1,0,0,1,0,0,1,0,0,1,1,30.166011810302734
0,0,1,1,1,1,0,1,0,1,1,1,34.72055435180664
1,0,0,0,1,1,1,1,0,0,1,1,30.09647560119629
1,0,1,1,0,0,0,1,1,0,0,1,29.16204833984375
0,1,0,0,0,0,0,0,0,1,0,1,43.67085266113281
1,0,1,1,0,1,1,1,1,0,0,1,29.117069244384766
0,1,0,0,1,1,1,1,0,1,0,0,38.38241958618164
0,1,1,0,1,1,1,1,1,0,1,1,36.89449691772461
1,1,0,0,1,0,1,1,1,1,1,1,29.986196517944336
0,1,0,0,1,1,1,0,0,1,1,1,40.58983612060547
1,0,1,1,0,0,0,0,0,1,0,1,30.58172607421875
1,1,1,0,0,0,0,0,0,0,0,1,31.030620574951172
0,1,0,0,0,1,0,1,0,1,1,1,37.79010772705078
0,0,1,1,0,1,0,1,0,1,1,1,34.79711151123047
0,1,1,0,0,0,0,1,1,0,1,0,37.99386978149414
0,0,0,0,0,0,1,0,0,1,0,0,52.01424026489258
1,0,0,0,0,0,0,0,0,0,0,1,31.439434051513672
0,0,1,0,0,0,0,0,0,0,1,1,42.84977340698242
1,0,0,0,0,0,1,1,1,1,0,0,30.28583335876465
0,0,0,0,1,1,1,0,0,0,1,0,44.253597259521484
1,0,0,1,0,0,0,0,0,0,0,1,30.71083641052246
0,1,0,0,1,0,0,0,0,0,1,1,42.108619689941406
1,0,0,1,1,0,1,1,1,1,1,1,29.15053367614746
0,0,1,0,0,0,0,1,1,1,0,0,38.65926742553711
1,0,0,1,1,1,1,1,0,0,0,1,29.2088565826416
0,0,0,0,0,0,0,0,1,1,0,0,47.316162109375
0,0,0,0,0,0,1,0,0,0,1,0,47.40577697753906
1,1,0,0,1,1,1,1,1,1,0,1,30.146570205688477
1,1,1,0,0,1,1,0,1,1,1,1,30.67738914489746
1,1,1,0,1,1,1,0,1,1,0,0,30.974355697631836
1,0,0,1,1,1,1,0,0,0,0,0,30.574710845947266
0,1,1,0,1,1,1,0,1,1,1,1,39.0235595703125
1,0,0,1,1,0,1,0,0,0,1,0,30.578039169311523
0,1,0,1,0,1,1,0,0,1,1,1,38.6410026550293
0,0,1,1,0,1,1,1,1,1,0,0,34.91516876220703
0,1,0,0,0,0,0,0,0,1,0,0,45.446258544921875
1,0,1,1,1,0,0,0,1,1,0,0,30.443920135498047
0,1,1,0,1,1,1,1,0,0,0,1,37.65227508544922
0,0,0,1,0,1,1,0,0,0,0,0,41.182899475097656
0,0,1,0,0,0,0,1,1,0,1,0,38.538326263427734
0,0,0,0,1,1,0,0,0,0,0,0,47.61064910888672
1,1,1,0,0,0,1,0,1,0,1,1,30.657251358032227
0,0,0,1,0,0,0,0,0,1,1,1,39.93011474609375
1,1,1,0,1,1,1,0,1,1,1,1,30.65732192993164
0,0,0,0,1,0,0,0,1,0,1,1,43.40187454223633
0,1,1,1,0,1,1,1,1,1,1,1,34.363956451416016
0,1,1,0,1,0,0,0,1,1,1,1,39.866966247558594
0,0,0,1,0,1,0,0,0,0,0,0,41.24937057495117
0,0,0,0,0,0,1,0,0,0,0,1,48.76105499267578
0,0,1,1,0,0,1,1,0,1,1,0,35.41389083862305
0,0,0,1,1,0,1,0,0,0,1,1,40.236854553222656
0,0,1,1,0,1,0,0,0,0,0,1,39.97547149658203
1,0,1,1,1,0,0,1,1,1,1,0,29.096240997314453
0,0,1,0,0,0,0,0,0,0,0,1,44.62982940673828
1,0,0,0,1,1,1,1,1,1,1,1,30.151086807250977
0,1,1,1,0,1,1,0,1,1,1,1,37.82527542114258
1,0,0,0,0,1,1,0,0,0,0,0,31.36886978149414
1,1,0,0,1,0,1,1,0,0,0,0,30.365497589111328
1,0,0,0,1,0,0,0,0,0,0,0,31.548595428466797
1,0,0,1,1,0,1,1,1,1,1,0,29.156391143798828
1,0,1,1,1,1,0,0,0,0,0,0,30.42181968688965
1,0,0,1,1,1,1,1,0,1,0,1,29.226299285888672
1,1,0,0,1,1,0,0,1,1,1,1,30.852590560913086
