/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,1,0,1,1,1,0,0,1,1,2865.413818359375
1,1,1,1,1,1,1,1,1,1,0,0,2756.157470703125
0,0,1,0,1,1,1,1,0,0,0,0,735.1044921875
1,0,1,0,0,1,0,0,0,0,0,0,2572.6611328125
0,0,1,0,0,0,0,0,0,0,0,0,292.02508544921875
0,1,0,0,0,1,0,0,0,0,1,0,648.7699584960938
0,1,1,1,1,1,0,1,1,1,0,1,1142.9014892578125
0,0,1,0,0,1,0,0,0,1,0,1,547.8565673828125
0,1,0,1,1,0,1,0,0,0,1,1,753.0199584960938
0,1,0,1,0,1,1,1,1,1,1,0,1141.3565673828125
0,1,0,1,0,0,0,0,1,0,1,0,731.683837890625
0,1,1,1,0,1,0,1,1,1,0,1,1128.634033203125
1,1,0,0,0,0,1,1,0,0,0,0,2585.602783203125
0,1,1,1,1,1,0,1,0,1,1,1,1159.0875244140625
1,1,0,1,0,0,1,0,0,0,0,1,2610.61865234375
1,1,1,1,0,1,1,1,1,1,1,1,2841.672119140625
0,0,0,1,0,1,0,0,1,0,1,0,714.04931640625
1,1,0,1,1,0,0,1,1,0,0,0,2800.38720703125
0,0,0,0,0,0,0,1,1,1,0,0,653.689208984375
1,1,1,1,0,0,1,1,1,1,1,0,2899.072998046875
1,0,1,1,0,1,0,1,1,0,1,1,2818.920166015625
0,1,1,1,1,1,1,1,1,1,0,1,1151.2623291015625
1,1,1,1,1,1,0,1,1,1,1,1,2840.662109375
0,0,0,0,0,0,0,0,0,0,1,1,479.20416259765625
1,0,0,1,0,1,0,0,1,0,1,0,2645.69970703125
1,1,1,1,1,1,1,0,1,1,1,1,2722.553466796875
1,1,0,0,0,1,1,0,0,0,1,1,2664.469482421875
1,0,1,1,0,1,1,0,0,1,1,0,2735.64794921875
1,0,1,1,1,1,0,0,1,1,0,1,2616.173095703125
0,0,1,1,1,0,1,1,0,1,0,0,1005.4708251953125
1,1,1,1,1,1,1,0,1,1,0,0,2621.867919921875
1,1,0,0,0,1,0,1,0,1,0,1,2642.54931640625
1,1,1,0,1,1,1,1,0,1,1,1,2758.52880859375
0,0,0,1,1,1,1,0,0,0,1,1,731.5791015625
0,0,0,0,0,1,0,0,0,0,0,0,316.09942626953125
1,1,0,1,1,0,1,1,1,1,0,0,2783.236083984375
0,1,0,0,1,0,0,0,0,1,0,1,554.52294921875
0,0,0,1,0,1,0,1,0,0,0,0,991.9158325195312
1,1,1,1,1,0,1,1,0,1,1,1,2844.98046875
1,0,0,0,1,0,0,0,0,0,0,1,2495.793701171875
1,1,1,1,1,1,1,1,0,1,1,1,2897.884521484375
0,0,1,0,0,1,0,1,0,0,1,0,758.0526733398438
0,0,0,0,0,0,0,0,0,0,0,1,314.9444580078125
1,0,1,1,1,1,1,1,1,1,0,1,2754.344482421875
0,1,1,0,1,0,1,0,1,1,0,0,621.9041748046875
0,0,0,1,0,0,0,0,1,0,0,0,545.158935546875
0,0,0,0,0,0,0,1,0,1,0,0,572.4786987304688
1,1,0,0,0,1,0,0,0,0,1,1,2662.15771484375
1,0,1,1,1,1,1,1,1,0,1,1,2824.0625
0,1,1,1,0,0,0,0,0,0,1,0,708.2960205078125
1,1,1,1,0,1,1,1,0,1,0,1,2820.30615234375
1,1,1,1,1,1,0,1,0,1,1,0,2876.70654296875
0,1,0,0,0,0,1,0,1,0,0,0,489.09442138671875
0,0,1,1,0,1,1,1,1,0,1,0,1101.757080078125
1,1,0,0,0,0,1,1,0,0,1,0,2675.730224609375
1,0,1,0,1,1,1,0,1,0,1,0,2592.37060546875
1,1,1,1,0,1,1,0,1,1,0,0,2620.123046875
