/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,1,0,1,1,1,0,0,1,1,265.6136779785156
1,1,1,1,1,1,1,1,1,1,0,0,259.6891784667969
0,0,1,0,1,1,1,1,0,0,0,0,91.6645278930664
1,0,1,0,0,1,0,0,0,0,0,0,263.2875671386719
0,0,1,0,0,0,0,0,0,0,0,0,46.20594024658203
0,1,0,0,0,1,0,0,0,0,1,0,113.26420593261719
0,1,1,1,1,1,0,1,1,1,0,1,132.37918090820312
0,0,1,0,0,1,0,0,0,1,0,1,108.11767578125
0,1,0,1,1,0,1,0,0,0,1,1,112.60841369628906
0,1,0,1,0,1,1,1,1,1,1,0,130.72891235351562
0,1,0,1,0,0,0,0,1,0,1,0,103.89909362792969
0,1,1,1,0,1,0,1,1,1,0,1,126.89395904541016
1,1,0,0,0,0,1,1,0,0,0,0,262.6410217285156
0,1,1,1,1,1,0,1,0,1,1,1,136.0545654296875
1,1,0,1,0,0,1,0,0,0,0,1,266.36895751953125
1,1,1,1,0,1,1,1,1,1,1,1,262.76458740234375
0,0,0,1,0,1,0,0,1,0,1,0,98.36359405517578
1,1,0,1,1,0,0,1,1,0,0,0,265.12542724609375
0,0,0,0,0,0,0,1,1,1,0,0,74.68997192382812
1,1,1,1,0,0,1,1,1,1,1,0,269.39166259765625
1,0,1,1,0,1,0,1,1,0,1,1,258.1441955566406
0,1,1,1,1,1,1,1,1,1,0,1,134.4786376953125
1,1,1,1,1,1,0,1,1,1,1,1,262.1049499511719
0,0,0,0,0,0,0,0,0,0,1,1,67.68756866455078
1,0,0,1,0,1,0,0,1,0,1,0,260.8802185058594
1,1,1,1,1,1,1,0,1,1,1,1,262.19085693359375
1,1,0,0,0,1,1,0,0,0,1,1,265.6347351074219
1,0,1,1,0,1,1,0,0,1,1,0,266.0982666015625
1,0,1,1,1,1,0,0,1,1,0,1,257.891845703125
0,0,1,1,1,0,1,1,0,1,0,0,81.34236145019531
1,1,1,1,1,1,1,0,1,1,0,0,259.6891784667969
