/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,0,1,1,0,0,0,1,248105.25,126341.875
0,0,0,1,0,0,0,0,0,0,1,1,45510.25390625,20447.62890625
1,0,0,0,1,1,1,1,1,1,1,1,245261.53125,126459.1015625
0,0,1,0,1,0,1,1,0,1,1,0,70256.375,28938.49609375
1,0,0,0,0,0,1,1,1,0,0,1,236392.25,124419.7734375
0,0,0,0,0,0,0,0,1,1,0,1,36744.71484375,20684.419921875
1,1,0,0,0,0,0,0,1,1,1,0,243952.71875,128390.9375
0,1,1,1,0,0,1,1,0,1,1,0,75603.046875,38037.3671875
0,0,1,0,1,0,1,0,0,0,1,0,56638.60546875,19945.787109375
0,0,1,1,1,0,1,1,1,1,1,0,76799.46875,32866.1328125
0,0,0,1,0,1,1,0,0,1,0,1,45713.0703125,26525.53125
1,0,1,0,0,0,0,0,1,0,1,1,238278.125,124100.0390625
0,1,1,1,1,1,1,1,1,1,0,1,88628.796875,37044.078125
0,1,0,1,0,0,0,1,0,1,0,1,63000.51953125,32051.140625
0,1,0,0,0,1,0,0,1,0,0,0,40353.0703125,22205.87890625
1,0,0,1,1,0,1,0,0,1,0,0,243553.5,123490.875
1,0,1,0,0,1,0,1,0,1,1,1,239869.21875,124297.203125
0,0,1,1,1,1,1,1,1,0,1,0,69061.1796875,29262.87109375
0,0,0,1,0,0,1,0,1,0,0,1,33281.45703125,23852.45703125
0,0,1,0,1,1,1,1,0,0,1,0,57887.16796875,23204.310546875
0,0,0,1,1,0,0,0,0,1,1,1,77096.96875,24255.17578125
0,0,0,0,1,1,0,1,0,1,0,1,63120.05078125,21393.62109375
1,0,0,0,0,0,1,0,0,0,1,0,237333.90625,123131.578125
1,0,0,0,1,0,0,0,1,1,1,0,245028.90625,125260.2734375
0,1,1,0,0,1,0,1,1,0,1,0,59506.85546875,29996.921875
1,0,1,0,0,0,1,0,0,0,0,1,237330.59375,122219.203125
1,1,1,0,1,0,1,0,0,0,0,1,247678.796875,124762.765625
0,0,1,0,1,0,0,1,0,1,1,1,72742.09375,25587.0390625
1,0,0,0,1,1,1,0,1,0,1,0,243189.796875,124492.4140625
0,0,0,0,0,0,0,0,1,0,0,0,0.0,10331.51953125
1,1,1,1,1,1,1,0,0,1,0,0,249542.84375,126039.140625
0,0,0,1,1,1,0,1,1,0,1,1,69628.1171875,27056.33984375
0,1,1,0,1,1,0,0,0,0,1,1,84737.953125,26425.458984375
0,0,1,0,1,0,0,1,0,0,1,0,56638.60546875,17717.88671875
0,0,0,0,1,1,1,0,0,0,0,1,45242.28125,16501.16015625
1,0,0,1,0,1,1,1,1,1,1,0,238964.296875,126790.3515625
0,0,1,0,0,1,1,0,1,1,1,0,47344.59375,28016.43359375
0,0,1,0,0,0,1,1,1,0,1,0,30453.525390625,25084.943359375
1,1,0,0,1,0,1,1,0,1,0,0,247700.84375,126700.8984375
0,0,0,0,0,1,1,0,0,1,0,1,37799.3125,23469.79296875
1,0,1,0,1,1,0,0,0,0,0,1,243567.375,121136.4375
1,0,0,0,0,0,1,1,1,0,0,0,236186.546875,124593.671875
1,0,1,1,1,1,1,1,1,1,1,0,246500.34375,126790.3515625
1,0,0,0,1,0,0,0,1,1,0,0,243623.75,123952.4375
0,0,1,0,1,1,0,1,0,0,0,1,49091.140625,13882.9638671875
0,1,1,1,1,0,1,1,1,0,1,0,89749.6796875,36456.69921875
0,1,0,0,0,0,0,0,1,0,1,1,58588.5625,29269.55859375
1,1,0,0,1,0,0,0,1,1,0,1,248249.75,126539.703125
0,0,1,0,0,1,1,1,1,1,1,0,47344.59375,30526.92578125
1,1,0,0,0,1,1,0,1,0,1,0,242488.5,127492.859375
0,1,1,0,0,1,0,1,1,1,0,0,57638.04296875,30665.0625
0,0,0,1,1,1,0,1,0,0,0,0,57048.89453125,18296.1328125
0,1,1,1,0,0,1,0,0,1,0,1,65814.75,33504.6171875
0,0,1,1,0,0,1,0,0,0,0,0,32608.150390625,20701.18359375
0,1,1,0,1,1,0,0,1,1,0,1,82527.1171875,29185.849609375
1,0,1,0,0,1,0,1,1,0,0,0,237473.921875,124164.0390625
1,0,0,0,0,0,1,1,0,0,1,1,237297.171875,124057.546875
0,0,1,1,0,1,1,1,0,1,0,0,45496.67578125,28449.08984375
0,0,1,0,0,1,1,0,1,1,1,1,49990.70703125,29193.0625
0,0,1,1,0,0,1,1,0,0,0,0,32608.150390625,23963.529296875
1,1,1,1,1,1,1,1,1,0,0,0,247742.296875,127579.9375
1,0,0,0,1,1,0,0,0,1,0,1,244402.71875,121996.0390625
0,0,0,0,0,0,1,1,0,0,1,0,27773.16015625,23204.310546875
0,1,1,0,0,0,1,0,0,0,0,0,43123.3359375,24121.853515625
1,0,0,0,1,0,1,0,0,0,1,0,242845.78125,123131.578125
0,1,0,1,1,1,0,1,1,1,1,0,94301.2734375,36705.7890625
1,0,1,1,1,0,1,0,0,1,1,0,246173.03125,124521.5234375
0,0,1,1,0,1,1,0,1,1,1,0,54736.6796875,30464.494140625
0,0,1,1,1,1,1,1,1,0,1,1,71954.328125,30519.787109375
1,0,1,1,1,0,0,1,0,1,0,1,245237.46875,123606.625
1,1,0,1,0,1,1,0,0,1,0,1,242206.28125,126228.359375
0,0,1,0,0,0,1,0,0,0,1,0,30453.525390625,19945.787109375
0,0,1,1,1,1,1,1,0,1,1,1,80076.8046875,32104.33984375
1,1,1,1,0,1,1,0,1,1,1,1,245650.59375,128900.203125
1,0,0,0,1,0,0,0,0,0,1,0,242845.78125,122124.9609375
1,1,0,1,1,1,1,1,0,0,0,0,246469.671875,126308.6640625
0,1,1,0,0,0,1,1,0,0,0,0,43123.3359375,26937.59375
1,1,1,1,0,0,0,0,0,1,0,1,243214.25,125263.8984375
0,1,0,1,0,1,0,0,0,1,0,1,63777.59375,29423.677734375
0,1,0,1,0,1,1,1,1,1,0,0,61803.1640625,36215.2421875
1,0,1,1,1,1,0,1,1,1,1,0,246500.34375,126408.5859375
0,1,1,1,1,0,0,0,0,1,0,0,86045.671875,28471.95703125
1,0,0,1,0,1,1,1,0,1,1,0,238964.296875,125506.9140625
1,0,1,0,0,0,1,0,0,1,1,1,239554.171875,124217.578125
1,1,0,0,1,0,0,0,1,1,1,0,250507.71875,128390.9375
0,1,0,1,0,0,0,1,0,1,0,0,61019.3828125,31159.009765625
1,0,0,0,0,0,0,0,0,1,0,0,237185.875,122171.5390625
0,1,0,1,0,0,0,1,1,1,0,1,63000.51953125,34164.39453125
0,0,0,0,1,0,1,1,1,0,0,0,35464.49609375,20395.65234375
0,0,0,0,1,0,1,0,0,1,0,0,59790.89453125,22448.43359375
0,0,1,1,1,0,0,1,0,1,1,1,79200.140625,27668.962890625
1,1,1,0,1,0,1,0,0,0,0,0,247291.34375,124839.609375
0,0,1,1,1,0,1,0,1,0,1,0,68016.0859375,26683.515625
1,0,0,1,1,0,0,0,0,0,1,1,244432.453125,123052.1015625
1,0,0,1,1,1,1,0,0,1,0,1,244581.875,123629.328125
1,0,1,1,1,0,1,0,1,0,0,1,243794.046875,124018.7734375
1,1,1,0,0,0,1,0,0,1,0,0,242324.25,125716.578125
1,0,1,0,1,0,0,1,1,1,0,0,244513.75,124952.3984375
1,1,1,1,0,1,0,0,0,1,0,0,242802.546875,125062.640625
0,1,1,1,1,1,1,1,0,1,0,1,88628.796875,35791.8828125
0,1,0,1,1,1,1,1,1,0,0,1,77876.40625,33475.41796875
0,1,1,1,1,1,1,0,1,0,1,0,90547.015625,34372.26953125
1,1,0,1,0,1,0,0,1,0,0,0,240397.625,126294.4140625
0,0,1,1,1,1,1,1,1,0,0,1,62493.82421875,26677.125
0,1,0,0,0,0,0,0,0,1,0,1,56340.54296875,26672.265625
1,1,1,1,0,1,0,1,1,0,1,1,245324.09375,129012.5625
1,1,1,0,1,1,0,0,0,0,1,1,249649.921875,125146.296875
0,0,1,1,0,1,0,1,0,0,1,1,48828.09765625,24199.3828125
1,0,0,1,1,0,0,1,1,1,1,1,245624.59375,126484.265625
1,0,0,1,0,1,1,0,0,1,0,0,237244.703125,123490.875
1,0,0,1,0,1,1,1,1,1,0,1,237907.40625,125795.2265625
1,0,0,1,0,0,1,1,0,1,1,1,239004.953125,125545.921875
0,1,1,1,0,0,0,1,0,0,0,0,55404.0390625,27122.322265625
1,0,0,1,0,1,0,0,0,0,1,1,239034.453125,123052.1015625
0,1,1,1,1,1,0,0,0,1,0,1,88628.796875,29423.677734375
1,1,1,1,0,0,1,1,1,0,1,1,244932.203125,129224.953125
1,0,0,1,0,1,0,1,1,0,0,1,237185.25,124560.125
0,1,0,0,0,0,0,0,1,1,0,1,56340.54296875,29185.849609375
0,0,0,0,0,0,0,1,0,0,0,1,13907.6064453125,13882.9638671875
1,1,0,1,1,0,0,0,1,0,0,1,246849.09375,126360.515625
1,1,1,0,0,0,1,0,0,0,0,0,241396.71875,124839.609375
