/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,1,1,1,1,1,1,1,1,1,1,1,3077.094970703125,245.95248413085938
1,0,0,0,0,1,1,0,1,1,0,1,3059.705810546875,239.73379516601562
0,1,0,0,1,0,1,1,0,0,0,1,573.7113037109375,44.64107131958008
1,1,0,0,0,1,0,1,0,1,0,1,3066.498046875,241.2096405029297
0,0,1,0,1,1,1,0,1,1,0,0,538.55029296875,40.04061508178711
0,1,0,1,1,0,0,0,0,1,1,0,842.5374755859375,55.0235710144043
0,0,1,0,0,0,0,1,1,1,1,0,496.4150390625,45.915103912353516
0,1,1,1,0,0,0,0,1,0,0,0,576.465087890625,43.949459075927734
0,1,1,1,0,1,1,1,0,1,1,1,811.5615234375,63.56714630126953
0,0,1,1,1,0,0,0,0,0,0,0,513.5949096679688,24.323780059814453
1,0,0,0,0,1,1,0,0,0,0,1,3048.470947265625,236.3834228515625
1,1,1,0,0,1,1,0,1,1,0,1,3088.19775390625,242.25048828125
0,1,1,0,0,1,1,1,0,1,0,1,617.0355224609375,53.63054656982422
1,0,0,0,1,0,1,0,0,0,0,1,3030.030029296875,236.3834228515625
0,0,1,0,1,0,1,1,1,0,0,1,408.23162841796875,34.563575744628906
0,1,1,1,1,0,0,0,1,1,0,1,797.835205078125,53.43642044067383
0,1,1,1,1,1,0,1,1,0,1,0,811.41015625,54.905784606933594
1,1,0,1,1,1,0,0,0,0,1,0,3041.37109375,241.7477569580078
1,0,0,1,0,1,1,1,1,0,0,1,3034.59814453125,239.28421020507812
0,1,0,1,0,1,0,0,0,1,0,0,626.2808837890625,48.192604064941406
0,1,0,0,1,0,1,0,0,1,1,1,805.2718505859375,58.420684814453125
1,1,1,0,0,1,1,0,1,1,1,1,3110.5927734375,244.92507934570312
1,1,1,1,0,0,0,0,1,0,0,1,3063.65771484375,242.67434692382812
0,0,0,0,1,0,1,0,1,0,0,0,338.9899597167969,26.091930389404297
0,0,1,1,1,1,1,0,1,0,1,0,600.158447265625,43.57817077636719
1,0,1,1,0,0,0,1,0,0,0,1,3054.19970703125,237.9370574951172
0,0,1,1,0,0,1,1,1,0,0,1,404.2774963378906,42.55302810668945
1,1,0,1,0,1,1,1,0,0,1,1,3058.43603515625,241.843505859375
0,1,0,0,0,0,0,0,0,0,0,0,392.1548767089844,30.642908096313477
1,1,0,0,1,0,1,0,1,0,1,0,3050.21484375,242.98501586914062
0,1,0,1,0,0,1,1,0,0,0,0,525.7734985351562,49.53722381591797
0,0,0,1,0,1,0,1,0,0,1,1,479.8003845214844,41.17713165283203
0,1,1,0,1,0,0,0,1,0,1,0,720.5294189453125,45.27131271362305
0,1,0,1,1,1,0,1,1,1,0,0,741.9228515625,54.41691207885742
0,1,1,0,1,1,0,1,1,1,0,1,732.8668823242188,51.3738899230957
1,0,0,1,1,1,0,0,0,1,1,1,3038.21728515625,241.29202270507812
1,1,1,0,1,1,0,0,0,0,0,0,3063.743408203125,239.85739135742188
0,1,0,1,1,1,1,0,1,1,1,1,867.2738037109375,63.067710876464844
0,0,0,1,1,1,1,1,0,0,1,1,604.6798095703125,47.10440444946289
0,1,0,1,1,0,1,1,1,1,1,0,842.5374755859375,64.54171752929688
0,0,0,0,1,1,1,0,1,0,1,1,504.98199462890625,39.77735137939453
1,1,1,1,1,0,1,0,0,0,1,1,3069.14501953125,241.3647003173828
0,1,0,1,1,0,1,1,0,0,0,1,677.3177490234375,51.399635314941406
0,1,1,1,0,0,0,0,0,0,0,1,607.9998779296875,42.18782043457031
0,0,0,0,1,0,0,0,0,0,0,0,338.9899597167969,0.0
1,1,1,0,1,0,1,1,0,0,1,0,3071.8701171875,241.35824584960938
1,1,0,0,1,0,0,0,0,0,1,0,3050.21484375,241.3355712890625
1,0,0,0,0,1,0,0,1,0,0,0,3046.88330078125,240.3121795654297
0,1,1,0,0,1,0,0,1,1,1,0,710.6676025390625,54.555152893066406
1,1,0,1,0,0,1,1,0,1,0,0,3043.197021484375,241.96383666992188
0,0,1,1,1,0,0,1,0,0,0,1,540.781005859375,32.96363067626953
1,1,1,0,1,1,1,1,1,1,1,1,3100.28466796875,245.37332153320312
0,0,0,1,1,1,0,0,0,0,0,0,484.2813415527344,24.323780059814453
1,0,1,0,0,1,0,0,1,0,0,1,3068.03955078125,239.65243530273438
0,1,1,0,1,1,0,1,0,1,0,0,706.7869873046875,46.615272521972656
0,1,0,1,0,0,1,0,0,0,1,0,662.5565185546875,53.11580276489258
1,1,1,0,1,0,1,1,1,0,0,1,3064.94384765625,241.269775390625
1,0,0,1,0,1,1,0,1,0,0,1,3034.59814453125,238.8236846923828
1,1,1,1,0,0,1,0,1,0,0,1,3063.65771484375,241.4508514404297
0,0,1,0,1,1,0,1,1,1,1,1,652.407470703125,48.75877380371094
0,0,0,1,1,1,1,1,0,1,1,1,698.7808837890625,53.73448944091797
1,0,1,0,1,1,0,0,1,0,1,0,3052.017578125,241.53964233398438
0,0,1,0,0,1,0,1,1,1,1,1,531.328857421875,48.75877380371094
1,0,1,1,0,1,1,1,0,1,1,0,3065.66650390625,241.1958465576172
0,1,0,1,0,1,0,1,0,0,0,1,556.7332153320312,45.77567672729492
1,1,0,0,1,0,0,1,1,0,1,1,3044.876708984375,244.30465698242188
0,1,0,0,1,0,0,1,1,1,0,1,697.9529418945312,51.3738899230957
1,0,0,1,1,0,0,1,1,0,1,1,3028.31298828125,242.6604461669922
0,1,1,1,0,1,0,0,0,0,1,0,710.2486572265625,47.89012145996094
0,0,0,0,0,0,0,1,1,0,0,1,153.8684539794922,27.76889419555664
0,0,1,1,0,1,0,0,0,0,0,0,366.57318115234375,24.323780059814453
1,0,1,1,0,0,0,1,1,1,0,0,3051.030517578125,242.6582489013672
0,1,1,1,1,1,1,0,0,0,1,1,836.00927734375,55.353370666503906
0,0,1,1,0,1,1,1,0,1,1,0,583.2919921875,52.57988357543945
1,0,1,1,0,1,1,0,1,1,1,0,3065.66650390625,242.8312530517578
0,1,0,1,0,1,1,1,1,1,0,1,648.7276000976562,60.1447639465332
0,0,0,1,1,1,1,0,0,1,0,0,593.32763671875,43.497074127197266
1,0,0,0,1,0,1,1,1,1,1,1,3053.716552734375,242.4451904296875
1,0,0,1,1,0,1,1,1,1,1,1,3038.212890625,243.20181274414062
1,0,1,1,1,0,0,0,1,1,1,1,3058.67041015625,244.08749389648438
0,0,1,0,0,0,0,0,1,0,1,0,326.1390686035156,29.66145896911621
1,1,1,1,1,0,1,1,0,0,0,1,3050.11181640625,239.9119873046875
0,0,0,1,0,0,0,0,0,0,1,1,479.74981689453125,37.13129806518555
1,0,0,0,1,1,1,1,1,1,1,1,3053.72021484375,242.4451904296875
0,0,1,0,1,0,1,1,0,1,1,0,622.8319091796875,48.274696350097656
1,0,0,0,0,0,1,1,1,0,0,1,3048.46728515625,238.751220703125
0,0,0,0,0,0,0,0,1,1,0,1,398.90838623046875,36.02702331542969
1,1,0,0,0,0,0,0,1,1,1,0,3091.568359375,246.74697875976562
0,1,1,1,0,0,1,1,0,1,1,0,783.3638916015625,62.5252571105957
0,0,1,0,1,0,1,0,0,0,1,0,484.60382080078125,32.38718032836914
0,0,1,1,1,0,1,1,1,1,1,0,695.8751220703125,54.545982360839844
0,0,0,1,0,1,1,0,0,1,0,1,484.2503356933594,45.493717193603516
1,0,1,0,0,0,0,0,1,0,1,1,3065.490234375,241.08999633789062
0,1,1,1,1,1,1,1,1,1,0,1,797.8678588867188,60.1447639465332
0,1,0,1,0,0,0,1,0,1,0,1,648.6864013671875,53.30999755859375
0,1,0,0,0,1,0,0,1,0,0,0,392.2265930175781,35.55795669555664
1,0,0,1,1,0,1,0,0,1,0,0,3017.21923828125,239.08364868164062
1,0,1,0,0,1,0,1,0,1,1,1,3087.99951171875,241.082275390625
0,0,1,1,1,1,1,1,1,0,1,0,600.158447265625,47.01134490966797
0,0,0,1,0,0,1,0,1,0,0,1,359.94842529296875,38.770328521728516
0,0,1,0,1,1,1,1,0,0,1,0,484.652099609375,36.85813522338867
0,0,0,1,1,0,0,0,0,1,1,1,698.7507934570312,44.9183464050293
0,0,0,0,1,1,0,1,0,1,0,1,545.12158203125,36.576717376708984
1,0,0,0,0,0,1,0,0,0,1,0,3050.40625,238.0359649658203
1,0,0,0,1,0,0,0,1,1,1,0,3057.2890625,243.9580535888672
0,1,1,0,0,1,0,1,1,0,1,0,605.4589233398438,48.491172790527344
1,0,1,0,0,0,1,0,0,0,0,1,3068.035888671875,236.3834228515625
